Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Assistant Manager,Mumbai,Full Time,Stores & Material Management Department,2 Sep 2023,1.0,1.0,5.0,5.0,1.0,2.0,1.0,Only skill development is good.,"working culture,behavior, work life balance,job security,Promotion in every life is terrible."
Executive,"Mumbai, Maharashtra",Full Time,Administration Department,1 Sep 2023,1.0,1.0,1.0,5.0,1.0,5.0,5.0,Nothing,"Company is good but company owners are treating people like servants or slave.
They do casteism and specially owners wife she think everyone is chor. And she do humiliation with employees who are working with her. 
She hate maharashtrian, Muslims and Christian. And always say pata nahi kaha se bhukhe nange AA jate hai mere yaha kaamkarne
Plz don't join this company if you get job opportunity to work with owners specifically with owners wife....Read More"
Sales Manager,"Kannur, Kerala",Full Time,Enterprise & B2B Sales Department,8 Sep 2023,1.0,1.0,1.0,5.0,3.0,3.0,1.0,Best company,"Work life
No business ethics 
Not career oriented 
No future 
No promotions
Poor Managers"
"Assistant Manager , Pd,  Stores",Patna,Full Time,Power Supply and Distribution Department,1 Sep 2023,4.0,4.0,3.0,5.0,2.0,4.0,3.0,Hr policy is very clear and skill oriented . Need to directly associated with bottom line employee.,Reference basis appraisals done in current scenario. If any one links and likes available in effective management.
Regional Sales Manager,"Kolkata, West Bengal",Full Time,Retail & B2C Sales Department,6 Aug 2023,4.0,4.0,4.0,5.0,4.0,5.0,4.0,"Culture
Work life balance
Salary and perks
Annual Increment
Growth Opportunities","Internal Politics
Unfair division of business units
Almost 7 days weekly work"
Salesman,"New Delhi, Delhi",Full Time,Sales Support & Operations Department,1 Aug 2023,4.0,5.0,5.0,4.0,4.0,5.0,3.0,You can develop your work skill and communication with different people.... How to talk and how to deal.....,Sometime U can face different issues bad experience with customers
Area Sales Manager,"New Delhi, Delhi",Full Time,Retail & B2C Sales Department,7 Aug 2023,1.0,1.0,1.0,5.0,1.0,1.0,1.0,"Very big brand, salary structure one of the best in industry.","Favouritism, no HR intervention. Hire and fire. No work ethics by people and still no action even when authorities know."
Lead - SEA & SAARC Countries,Mumbai,Full Time,International Business  Department,5 Aug 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0,The infrastructure and inclusive culture,"HR policies and there is flat structure. Even after having experience of 18 years, company is offering Manager position."
"Interio Sr. Manager (Sales Support, Sales Accounting, Taxation, Legal)",New Delhi,Full Time,Back Office Department,6 Aug 2023,2.0,1.0,2.0,4.0,3.0,1.0,2.0,"The salary may be negotiable if you are the favoured employee of your boss, otherwise, it may be wise to have a backup plan.",There was no innovation and only office politics. The upper management is corrupt and only favours who treat the bosses well.
Team Manager,Mumbai,Full Time,Operations Department,6 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing,"The company culture is toxic. Not progressive (even though they show they are). Petty managers, narrow minded approach, micromanagement. No scope for growth."
