Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Head Quality Assurance,Chennai,Full Time,Production & Manufacturing Department,2 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Amazing work culture, Employee friendly work atmosphere, sensitive and human oriented top management, far better perks then any consumer durable and AC manufacturing MNCs... Overall great place to work",No dislikes
Site Engineer,Mumbai,Full Time,Construction Engineering Department,2 Sep 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Koi bhi join mat kro please,"Only on roll employee's benifits given Third party Engineers haire karke full of work load given on Third party Engineers 12 Hours all day woking including Sunday
So please not join on Third party pay roll Engineer's MEP Project"
Technology Services Engineer,"Thane, Maharashtra",Full Time,Engineering & Manufacturing Department,0 Sep 2023,4.0,4.0,1.0,3.0,3.0,4.0,2.0,Company good culture good worklife balance spends lot on employee development,"Analysis team R&D less growth opportunity 
Bandwith of work is small"
Deputy Manager Operations,"Indore, Madhya Pradesh",Full Time,Service Delivery Department,0 Aug 2023,2.0,3.0,1.0,3.0,3.0,1.0,3.0,Top leadership massage is clear about buisness and intention is good towards manpower.,"Totally depends on your manager, they have given all the rights to Area Manager.
She /he can mess your life.
Very Controlled environment by Area Manager.
Immature leadership on groud, lot of politics,gossips and grouping in office.
Not suggesting until or unless you have no options in market including your existing company."
CT Scan And MRI Service Engineer,New Delhi,Full Time,Meditech Solution  Department,2 Aug 2023,4.0,4.0,3.0,4.0,4.0,5.0,3.0,"Communication , Co-Ordination and Co-operation of the team is good. HR Policy is good.",It's only regards me that I didn't get any training or learning opportunity either company or the OEM for exploring my knowledge in Advance.
Site Engineer,"New Delhi, Delhi",Contractual,"Operations, Maintenance & Support Department",8 Aug 2023,3.0,1.0,2.0,3.0,1.0,1.0,1.0,"Company is good but there is senior employee who do not support their junior, they always treat like slave.","I have joined blue Star ltd in feb-23 as a off roll employee for better growth in my career but after joining it seems like my decision was wrong and that was true. If you are working with blue star then you have to forget about your own life, family and health.
I face a major problem, in july month my grandfather expired then i have to go my home town suddenly but after 1 day one of my senior whom position was North India head in that particular department he called me and asked about my problem at that time i told him all the family problems with grandfather expired, my mom also health was not good at that time while talking to (Mr. Sunny Harnal) it seems like he is supportive and care about me but that was opposite what i was thinking. He said if you came to work within 2 days then you sare safe and secure otherwise i have to take harsh decision against you. I requested him but he was talking rude then i had to cut the call and i feel very helpless then i said to my mom then mom said that give the resignation i will take care all of your need. Then i had to resign from my post. That situation are very bad for me and my family, even i can not explain in words....Read More"
Territory Manager,"Thane, Maharashtra",Full Time,Sales Support & Operations Department,0 Jul 2023,3.0,4.0,4.0,3.0,3.0,3.0,2.0,"Freedom and flexibility to work, System well defined and transparent.","Less growth opportunity and work recognition, Favourism and preference of management to certain group of people, Group politics,"
Site Engineer,Bangalore,Contractual,Construction Engineering Department,5 Jul 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0,"Salary is paid on time, senior staff are very friendly. Party every months given by company.. ...,","The value of only M staff in this company, off role people take a lot of work"
Senior Executive,"Mumbai, Maharashtra",Full Time,Sales Support & Operations Department,0 Jul 2023,5.0,3.0,3.0,3.0,5.0,4.0,3.0,"No higher promotions..
Good company culture
Good job security..","Appraisal cycles are in March but the revised salary in july...
Basic appraisal ofr 8 10 percent"
Head Information Security,"Thane, Maharashtra",Full Time,IT Security Department,8 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing that you can like there specifically in IT - CIO is a disaster & ego driven person.,"Toxic Culture in IT . CIO is very rude &  ego driven. Unprofessional & torture. Please don’t join else your mental health will be degraded. The issue is CIO’s toxic Nature putting entire organisation at stake . HR does not have any power , No governance. Very bad management, Governance . Pathetic culture everyone is sacred with CIO he only talks never listen very old thoughts. Most important not ready to embrace good changes wanted to do the things the way he is been doing since a decades . Horrible CIO ....Read More"
Head - It,"Thane, Maharashtra",Full Time,IT Support Department,7 Jul 2023,2.0,1.0,2.0,2.0,1.0,2.0,1.0,New challenges but no guidance,"IT leader (CIO) is ruthless and is known for putting immense pressure. A significant number of IT team members left
HR doesn’t have any control on these areas and is powerless 
The management is aware of the same but they don’t care
Would highly recommend not to join Blue Star especially IT team"
Engineer Trainee,"Dadra & Nagar Haveli/Silvassa, Dadra & Nagar Haveli",Intern,Engineering Department,9 Jul 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Very good company for fresher.There are lot of things to learn who are fresher or experienced. Work culture is too good .,Nothing
Quality Inspector,"Sri City, Andhra Pradesh",Contractual,Quality Assurance and Testing Department,7 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,My salary only good that also iam experienced not at all in other employees,"Very very worst company,management fully politics,management preference in more than female domination. our quality is very very worst quality and production also totally company is very very bad 😡Smart people are not taken here,This company only hires beautiful girls in our quality department also always supported in girl's. simply word totally worst company blue star name also gone"
Assistant Manager,"New Delhi, Delhi",Full Time,Enterprise & B2B Sales Department,7 Jul 2023,3.0,4.0,3.0,3.0,4.0,3.0,3.0,"Initially it was good, anyone who is good at sales can opt for it, work life balance is there. decent incentives.","no gender diversity, poor mentality of few people. Hardcore sales people has forgot how to actually communicate professionally."
Senior Procurement Engineer,Gurgaon/Gurugram,Full Time,Procurement & Purchase Department,8 Jun 2023,5.0,4.0,5.0,4.0,5.0,5.0,4.0,"Provides exposure and furnishes wide learning opportunities, culture is good to give you stress free evenings.",Could improvise on salary structure and could better the offering.
Deputy Manager Customer Service Quality Assurance,"Thane, Maharashtra",Full Time,Business Process Quality Department,8 Jun 2023,4.0,4.0,4.0,4.0,3.0,4.0,4.0,"Good brand image of company in market with good business growth past many years. 
Every department having different work culture and all depends on reporting manager and i was lucky as i am having friendly and good reporting manager.",Nothing
Contractor,"Hyderabad/Secunderabad, Telangana",Contractual,Construction / Manufacturing Department,7 Jun 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Everything is Dislike in Bluestar.its Cheating Company.They Will cheat for payment to the sub contractors.cheating company,1. Learning 2. Training time to time
Deputy Manager,Mumbai,Full Time,"Operations, Maintenance & Support Department",3 Jun 2023,3.0,2.0,3.0,3.0,2.0,3.0,3.0,"1. No organisation hierarchy anybody bypass the immediate superior and report to skip level manager
2. Assistant manager/ Deputy manager even manager work like a supervisor level.
3. No guidance or vision is clear for new joinee.
4. Senior judgement is judge your performance is based on only people s feedback.
5. Undefined KRA",The system and process is very good
Branch Service Manager,Kolkata,Full Time,After Sales Service & Repair Department,1 Aug 2023,4.0,3.0,3.0,4.0,2.0,4.0,3.0,The bossism specially recent management is the worse and pathetic. No idea of where to reach and how to reach,Blue Star is Commercially very strong.
Executive,Mumbai,Full Time,Procurement & Purchase Department,0 Sep 2023,2.0,1.0,3.0,2.0,2.0,3.0,1.0,"If you don't have job you can join Blue Star. Work life balance in very poor in procurement. 
Appraisal and Promotional process in this dept is completely biased. Don't think of working in this organization for long time span. Set KRA are fictitious and the same can be achievable.",
Assistant Manager,Thane,Full Time,Import & Export Department,7 Jun 2023,1.0,1.0,1.0,3.0,2.0,5.0,1.0,Company is very good but IBD department is very very bad,"HOD is sitting in Dubai & he didn't know what is going in thane office, he only knowledge about finance & very low knowledge of commercial,  operation. He is not cooprative,  supportive. Manager also very low knowledge of LC, operations, logistics,  not solving problems. One person is last 15 years he is never never cooprative, verymuch political, he know everything but showing he doesn't know. So many people left this department cause of high level politics. Recently one left this dept within 3 months , one person selected but denied to join. One person not accepted their rejoining offer. If anybody doesn't have job these people only think 1000 times to join. Too much work pressure,  no leave, no back up, shortage of man power & HOD knows shortage of man power but he didn't hired more persons. Documentation & finance both work to be done which very difficult task, very much harrassment. Only 2 people is working & they are frustrated. 
I request management & HR of Blue Star to look into this matter or in coming days no good people will join this great organization because of these people. And company will come into big trouble in terms of payment/money....Read More"
Deputy General Manager - Procurement,"Thane, Maharashtra",Full Time,SCM & Logistics Department,5 Sep 2023,4.0,4.0,4.0,4.0,3.0,4.0,4.0,"Good culture.Lot of learning opportunities..If person has right attitude, there are ample opportunities given to employee for growth in terms of new roles and responsibilities.Senior leadership team is sensible and sensitive  towards employees.",Some times work life balance is affected
Area Manager,"Lucknow, Uttar Pradesh",Full Time,Retail & B2C Sales Department,7 Sep 2023,5.0,3.0,4.0,2.0,3.0,2.0,2.0,It's a known airconditioner organisation it will good but as part of personal space fully finished,There is no personal space for self work and mental health
Senior Production Engineer,Vasuri Village Wada,Full Time,Engineering Department,6 Sep 2023,3.0,3.0,3.0,5.0,3.0,3.0,3.0,Company policy is very good,"Location is very bad, no transport facility, company culture is very worst,"
Maintenance Engineer,"Pune, Maharashtra",Full Time,"Operations, Maintenance & Support Department",6 Sep 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Favours 3rd party payroll,low wages less recruitment
Hvac Technician,Mumbai,Full Time,"Operations, Maintenance & Support Department",3 Sep 2023,4.0,3.0,4.0,3.0,3.0,3.0,3.0,Great team we all communicate each other .,No
Finance Assistant,"Bengaluru/Bangalore, Karnataka",Full Time,Payment chaser Department,3 Sep 2023,5.0,4.0,5.0,3.0,3.0,5.0,2.0,Everything is good and well only,Nothing to say about dislike
Sales Executive,"Chandigarh, Chandigarh",Full Time,Enterprise & B2B Sales Department,2 Sep 2023,2.0,2.0,4.0,2.0,4.0,2.0,2.0,They are masters of their field so they train well,Lala culture
Senior Officer Store PPC,"Sirmaur, Himachal Pradesh",Full Time,Stores & Material Management Department,1 Sep 2023,4.0,4.0,3.0,4.0,3.0,3.0,3.0,Nothing like,Too much politics special hp plants
Senior Engineer,"Gurgaon/Gurugram, Haryana",Full Time,Construction Engineering Department,1 Sep 2023,5.0,4.0,5.0,5.0,5.0,4.0,5.0,Good company,Site level more pressure
Customer Support Executive,"Indore, Madhya Pradesh",Full Time,Voice / Blended Department,1 Sep 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes but not much more,Their environment and senior behaviour is not good
Senior Executive,"Gurgaon/Gurugram, Haryana",Full Time,Engineering Department,0 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"One of the best company in terms of salary and Perks. 
Working environment is also holistic",I like working in Bluestar
Electrical Automation Maintenance Engineer,"Ahmedabad, Gujarat",Full Time,"Operations, Maintenance & Support Department",0 Sep 2023,3.0,2.0,3.0,2.0,3.0,3.0,3.0,"Good etc.,","Nothing else, etc,."
Safetyofficer,"Hyderabad/Secunderabad, Telangana",Full Time,Occupational Health & Safety Department,8 Sep 2023,5.0,4.0,5.0,5.0,4.0,5.0,3.0,Excellent,12 hour duty.Family accomodation not provides.
Junior Safety Officer,"Visakhapatnam, Andhra Pradesh And Also Kakinada",Full Time,Occupational Health & Safety Department,8 Sep 2023,5.0,4.0,5.0,5.0,4.0,5.0,4.0,Blue star company Good Company in this company I learn so much and Work experience,No
Assistant Manager,"Gurgaon/Gurugram, Haryana",Full Time,Operations Support Department,6 Sep 2023,5.0,4.0,2.0,4.0,4.0,5.0,3.0,perks and benefits,biasness during apprisal
"Assistant Manager-Environment,Health","Dadra & Nagar Haveli/Silvassa, Dadra & Nagar Haveli",Full Time,Community Health & Safety Department,1 Sep 2023,4.0,5.0,4.0,5.0,4.0,5.0,4.0,"Working culture , supporting staff,outing",All things are good
Assistant Manager,Gurgaon/Gurugram,Full Time,Construction / Manufacturing Department,5 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Good culture , work life balance have good HR",Nothing
Assistant Manager,"Hyderabad/Secunderabad, Telangana",Full Time,BD / Pre Sales Department,4 Sep 2023,5.0,4.0,3.0,3.0,4.0,4.0,3.0,Good work Culture,Nothing to improve
Assistant Manager,"Raipur, Chhattisgarh",Full Time,Sales Support & Operations Department,3 Sep 2023,5.0,5.0,4.0,5.0,5.0,5.0,5.0,"company Culture
Supportive Team
Perks and Benefits",Nothing
Fea Engineer,Thane,Full Time,Engineering & Manufacturing Department,2 Sep 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Good,"No comments
No problems
No dislikes"
Assistant Sales Manager,"Mumbai, Maharashtra",Full Time,Enterprise & B2B Sales Department,1 Aug 2023,3.0,2.0,3.0,2.0,4.0,4.0,3.0,Work satisfaction with good company environment.,"Very low pay scale, selective approach."
Air Conditioni Technicians,"Pune, Maharashtra",Full Time,After Sales Service & Repair Department,6 Sep 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,AC technician,After sale spare part supply
