Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Senior Consultant,Pune,Full Time,General Insurance Department,8 Sep 2023,4.0,4.0,3.0,3.0,4.0,4.0,4.0,"Deserved candidates are promoted promptly.
Unbiased in providing opportunities to employees, regardless of their gender or any other thing",With designation promotions good salary increment is also required
Senior Software Engineer,"Kolkata, West Bengal",Full Time,Software Development Department,7 Sep 2023,3.0,4.0,4.0,3.0,4.0,4.0,3.0,"You got lot of learning platform and monthly learning plan as well.
People will be encourage for cloud certificating.","You will get fully not tech project.
There is no variable pay.
No, appraisal. 
if you worked hard no one recognise you.
Increment will 3 to 4% max to max."
Senior Consultant,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,6 Sep 2023,4.0,4.0,5.0,3.0,3.0,4.0,3.0,"Based on which Business Unit you are you will get your experience.
Company's policies are good and is followed by most of the top level management people.
Some BUs respect employees personal time and some are not. They may directly tell you to work extra hours and days though it may not be your fault in developing something.
You canSpeak up what are the troubles you are facing anonymously and is heard and actions are taken. That's the best thing....Read More","Some top level management people bring bad name to the company because of their activities which affect good top level management people too.
Some BUs do micro management and some are asking to work extra hours. My friend's BU asked him to work on Saturday and Sunday which is against company's policy but to he persons who worked like that didn't Speak Up.  Director of the project knows that too and not supportive to employees' voice.
Some Managers are very good and directly will tell you not to work on weekends.
So it is upto in which BU you are and who is your manager....Read More"
Senior Consultant,"Pune, Maharashtra",Full Time,Banking Operations Department,6 Sep 2023,1.0,2.0,4.0,1.0,4.0,1.0,1.0,Some client projects are good as they use the latest tech to work.,"Culture, micro management, unprofessional behavior, lack of sensitivity, pathetic HR and PMO"
Team Lead,"Noida, Uttar Pradesh",Full Time,IT Infrastructure Services Department,5 Sep 2023,4.0,5.0,4.0,4.0,4.0,4.0,3.0,"I have worked in IBM (4 years) ,TCS (1 year) , this is my 3rd company (1.3 years completed at the time of review) ,  I would say Capgemini is better than IBM and TCS. Work Life balance is very good in capgemini, additionally growth opportunity is also good here if you are hard a worker. At the end don't forget it also depends on your project and manager.","Medical insurance amount is quite low compare to TCS . Cab pick up and drop is not from home, it's only from near by defined point."
Trade Finance Analyst,Pune,Full Time,Banking Operations Department,5 Sep 2023,5.0,5.0,4.0,3.0,5.0,4.0,5.0,All good and their learning platforms and skill development with full free hands and core knowledge expert in very process of projects and deliveries.,Hike cycle and performance hikes are bit low and average
Senior Developer,"Kolkata, West Bengal",Full Time,Software Development Department,4 Sep 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0,"Flexible timing, good project, learning growth","There is no anniversary culture for new employee, of you join on the month of May, you are going to get the hike after 2 years."
Analyst   (working remotely),,Full Time,Other Department,3 Sep 2023,1.0,4.0,4.0,1.0,5.0,1.0,3.0,"You can stay here without a project, without any work on bench. Nobody will fire you. 
You can stay here, learn from their courses and prepare for some other exam or other job","I begged them for a project, but they kept me on bench for a year. I was a fresher, so I was dying for some work
The management is terrible, the manager cut my leaves, saying I had an attitude"
Analyst,Navi Mumbai,Full Time,IT Consulting Department,3 Sep 2023,4.0,4.0,3.0,3.0,4.0,4.0,2.0,"The experience might vary based on the project you are tagged to, I'm in Consulting and my team is really supportive, so my overall experience is good no complaints.","No company or job is perfect, the learning opportunity will get stagnated at some point (might not be the case with development project) especially support projects, also there is no opportunity to have a transition into different roles, and the compensation and promotion is average, other than  this cg is a really great place to work."
Senior Consultant C1,"Chennai, Tamil Nadu",Full Time,Software Development Department,4 Sep 2023,4.0,4.0,3.0,5.0,5.0,4.0,3.0,"Learning new features from my project
Work life balance is good","There are no long term project, every 10 months once project getting changed. Again KT and machine setting is taking time. Internal politics are there, even if you work hard you will get 2nd rating."
Senior Analyst,Pune,Full Time,Business Intelligence & Analytics Department,3 Sep 2023,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Okay if you are always buttering any nanipulstive,"They play well politics quite firing,micromanagement and giving power to misuse in wrong hand not at all good place for genuine person"
Cybersecurity Manager,Bengaluru/Bangalore,Full Time,IT Security Department,2 Sep 2023,3.0,4.0,4.0,2.0,4.0,4.0,2.0,"Continuous learning
Good client interactions","Salary. It really needs improvement. Pay revision has to happen to meet with current inflation.
Appraisals can be better organised.
Can get out of hybrid and choice given to folks on how they can organise coming to office"
