Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Junior Engineer,Neemrana,Full Time,Production Department,9 Aug 2023,5.0,3.0,5.0,3.0,4.0,5.0,3.0,Provide Learning and technical trainings about their products and very good infrastructure and culture,Salary and benefits and apraisal
Customer Service Representative,"Tadepalligudem, Andhra Pradesh",Full Time,Non Voice Department,9 Aug 2023,1.0,1.0,3.0,1.0,1.0,3.0,1.0,"I was very eager to do the job but the environment was also very good to work, and talking about more problems with customers and dealers made the work more stressful because I used to get the job done in the end.","Assigning another task while we are doing the task that we are told to do, reminding us to do another task again and again within a short time of doing the task and asking to do that task again and again will make our work become a hassle instead of continuing the responsibility. Because of that I had trouble in my job"
Assistant Manager,Kolkata,Full Time,Enterprise & B2B Sales Department,0 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0,"Excellent place to work! 
People who join Daikin stay in Daikin till they retire.
Employees from competitors always envy and wish to join Daikin.
Pleasure working here!",NONE
Ac Technician   (working remotely),,Full Time,Airline Services Department,5 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I still working in supreme industry Gadagaon jalgaon Maharashtra India I have 11 yrs experience recant surch job Airconditioner refrigerator diploma course,No
Hr Executive,Neemrana,Full Time,Recruitment & Talent Acquisition Department,5 Sep 2023,4.0,4.0,3.0,4.0,5.0,4.0,3.0,"Culture and Job security, Well support as a team work.",Maybe people feel that they get less money here accordingly.
Diploma Engineer,Neemrana,Full Time,Production & Manufacturing Department,5 Jul 2023,3.0,3.0,3.0,2.0,5.0,3.0,2.0,The job is saved in the company. and transport facility and love,Average Salary provide Diploma Engineer like 10964 in had in det1. And food is average.
Manager,Andheri East Chakala.,Full Time,Retail & B2C Sales Department,5 Jul 2023,5.0,5.0,4.0,3.0,5.0,5.0,3.0,Very aggresive brand in-terms of Sales which I like most.,I believe seniours are always there for guudence & support so utilize them as a resources at that manner and start to give chance to us as a Mangers to handle bigger responsibility in ORG.
Assistant Manager,"Ahmadnagar, Maharashtra",Full Time,Operations Department,9 Jun 2023,3.0,4.0,3.0,2.0,4.0,3.0,2.0,"Company product is good, technical development","Salary, perks, increment , appraisal very poor, manual working is more, boss culture is more"
Assistant Engineer (Structural Design),Neemrana,Full Time,Engineering & Manufacturing Department,3 Aug 2023,3.0,4.0,3.0,3.0,4.0,2.0,3.0,"Working as per Japanese standard, Structural and system, Good support from HR.","Salary growth and internal politics,
Indian management in the name of MNC"
Senior Engineer,"Sri City, Andhra Pradesh",Full Time,Operations Support Department,0 Jul 2023,3.0,1.0,1.0,2.0,4.0,3.0,3.0,Nothing,"Poor Process capability 
Politics 
No Employee benefits
No food facility, only lunch provided with deduction
Limited transportation."
Post Graduate Engineer Trainee,Gurgaon/Gurugram,Full Time,Engineering & Manufacturing Department,1 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Work life balance,Very toxic work culture. Even people of 12 year plus experience has no basic knowledge of Mechanical Engineering. Employees are very less supportive and helpful. Seniors trying to do personal comments on employees.
Junior Executive,Neemrana,Full Time,Quality Assurance and Testing Department,6 Sep 2023,4.0,4.0,3.0,3.0,5.0,4.0,3.0,Culture and safety,Salary issue
Software Engineer Trainee,"Sri City, Andhra Pradesh",Full Time,Quality Assurance and Testing Department,4 Sep 2023,3.0,3.0,5.0,2.0,5.0,5.0,2.0,They take care about safety,They pay less salaries
Production Line Incharge In Assy Process,"Neemrana, Rajasthan",Full Time,Product Management - Technology Department,2 Sep 2023,4.0,4.0,4.0,3.0,5.0,4.0,3.0,Job security is too good,Salary increment not justified your hard work
Junior Engineer,"Sri City, Andhra Pradesh",Full Time,"Operations, Maintenance & Support Department",2 Sep 2023,5.0,5.0,4.0,4.0,5.0,4.0,3.0,"Good company 
Job security","Nothing 
Alright"
Team Management Lead,"Ahmedabad, Gujarat",Full Time,Sales Support & Operations Department,1 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Dakin Company Culture Excellent 👍,No any dislike of the Daikin Company
VRV Head Rajasthan Branch,"Jaipur, Rajasthan",Full Time,Enterprise & B2B Sales Department,1 Sep 2023,3.0,2.0,4.0,2.0,4.0,2.0,2.0,Brand acceptance and dealerships,"Pricing, arrogance, remuneration"
Engineer-Production Engineering,Neemrana,Full Time,Engineering Department,0 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Salary Standard is ok....No extra work pressure,Politics behind individual
Line Supervisor,Neemrana,Full Time,Production & Manufacturing Department,6 Sep 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Culture and working environment very good,Locality is very bad
Assistant Engineer 1   (working remotely),,Full Time,Engineering Department,2 Sep 2023,4.0,4.0,3.0,4.0,4.0,5.0,5.0,Company culture is good,Everything was ok no problem
Deputy Manager,Neemrana,Full Time,Engineering & Manufacturing Department,1 Aug 2023,2.0,3.0,2.0,2.0,4.0,1.0,2.0,No,"No good culture
No HR dept
You are just a worker, not more than that
No culture of appreciation"
Working Supervisor Trainee,Neemrana,Full Time,Engineering Department,9 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,"Best working environment, appresal & increments better, learning skill more",Sallery structure
Assistant Engineer,Neemrana,Full Time,Engineering Department,9 Aug 2023,5.0,4.0,5.0,3.0,5.0,5.0,3.0,"There 5s culture is good , environment , safety",Everything is good
Production Engineer,Chennai,Full Time,Engineering Department,6 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Mnc company good job ac company,Canteen facility now waste after best
Maintenance Executive,"Hyderabad/Secunderabad, Telangana",Full Time,Service Delivery Department,6 Aug 2023,4.0,3.0,5.0,2.0,3.0,3.0,2.0,"Working style 
No 1 company in HVAC","Employee benefits
Salary"
Ac Technician,"Sharjah, Sharjah",Full Time,Ac technician  Department,4 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Good company .
Low complent.
Using very simple.","No dislikes. 
Good company good product also"
Production Supervisor   (working remotely),,Full Time,Production Department,7 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good company,13 year complete
Assistant Engineer,Neemrana,Full Time,Engineering Department,9 Aug 2023,4.0,5.0,3.0,3.0,4.0,4.0,3.0,Work life balance,Career growth
Engineer,Chennai,Full Time,Engineering Department,8 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Company culture,Atmosphere is very Hot
Sr. Executive,Neemrana,Full Time,Recruitment & Talent Acquisition Department,8 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Working condition is good,Employee engagement activities must be increase.
Manufacturing Process Engineer,"Neemrana, Rajasthan",Full Time,Engineering & Manufacturing Department,0 Aug 2023,5.0,4.0,4.0,5.0,5.0,4.0,5.0,Holidays are more so plan some other work,Politics work pressure in dept
Junior Engineer,Neemrana,Full Time,Quality Assurance and Testing Department,4 Aug 2023,4.0,5.0,3.0,3.0,5.0,5.0,2.0,Holidays and alternate  sat. Off,Skill development
Engineer,Neemrana,Full Time,Production Department,0 Aug 2023,3.0,3.0,3.0,2.0,4.0,3.0,2.0,"company  bus service, canteen service, uniform , environment, safety
All well","Low salary , late promotion,"
