Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Senior Costing Manager,Noida,Full Time,Engineering & Manufacturing Department,0 Jul 2023,4.0,3.0,5.0,5.0,3.0,2.0,4.0,"For Learing HAIER Is best and Best organization, You will good in Advance Excels, PPT meetings with Top Management, Working standards and Criteria. How Top MNC'S actually work. If you get a chance to learn a part of Costing...It's wonderful learning Skils","Chinese and Indian huge Pressure, No one will Support you, you have to fight alone even your Boss Also. Work Indivisual on your own risk. Chinese does not help you they only need the Targets, Office Politics, very Bad working culture. 
Once you can work in this culture you can survive in any other Industries easily.
""Kacche and Kamjor Dil vale HAIER Join Na Kre"""
Assistant Engineer,"Greater Noida, Uttar Pradesh",Full Time,"Operations, Maintenance & Support Department",9 Jul 2023,1.0,1.0,1.0,2.0,4.0,1.0,1.0,"HR person  work is so good. canteen area in clean, ac bus free, No any salary deduction for any secondary issue. Safety is very good. medical facilities available in the company.","Work life unbalance, manager's behaviour not good as Lala chhap, No pramotion, pramotion according Lala chhap, manager's don't have leadership qualities. not good company for contractual base person, and good for till assistant engineer in. Any department at this upper level salary and work life balance is good."
Branch Manager,Pune,Full Time,Marketing Department,2 Sep 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Please don't work in this company there is no any discipline and culture. You will spoil your personal life. There is no any job security.,"Religion and cast base manpower appointment.
 Very bad culture,no any discipline, lowest salary structure in the industry"
In Shop Demonstration,"Lakhimpur, Uttar Pradesh",Full Time,Enterprise & B2B Sales Department,5 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,1.0,Hi sir/ma'am my self Rahul verma . I am 6 year old isd for Haier India pvt ltd. Best achievement 5 years top profomance all North 2 RRC UP . But not a promote for up country isd .why . Then ans me .,Haier company is very good product manufacturing. But sarvice center is very poor bad behaviour and customer is very haigper. Risk for isd sellout .
Senior Quality Engineer,"Pune, Maharashtra",Full Time,Quality Assurance and Testing Department,0 May 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,I'm not satisfy here,"A company with a combination of Poor work life balance, dirty politics, highest favoritism and pathetic working culture. You can have altogether here.
You'll be advised to work like a donkey in working and do your documentation work after going home.
Abusive language is a common term here, if you don't shout you'll be considered as a non performing asset.
They'll hire you by giving you 2-3 positions hike but trust me it hardly creates any difference. You won't be able to justify a package of 5.5LPA at a position of Dy. Manager.
Good point is you can enhance your presentation skills here if you're in REF Factory.
My clear advice is to you is don't spend much time here because though it sounds like a OEM but in actual it us way poor than a vendor company.
People here are pressured and forced to a level where they've to leave job without having another job in hand.
Can't recommend to anyone, yes if you're jobless right now you can go for it.
But don't fall in the trap....Read More"
Sales Executive,"Haridwar, Uttarakhand",Full Time,Sales Support & Operations Department,6 Jun 2023,5.0,5.0,4.0,3.0,4.0,4.0,5.0,"Haier has established an excellent reputation for home electronic appliances, including refrigerators. They offer various options, keeping in mind the needs and requirements of the customers. Their refrigerators are multi-functional and budget-friendly.",Company does not increase salary
Rso,"Kolhapur, Maharashtra",Full Time,Sales Support & Operations Department,7 Aug 2023,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Company and product is too good,Company is good but traveling expenses not provide as per traveling expenses company giving 6000 fixed but whole District traveling expenses goes to above 11k so I will take resign because every month traveling cost cutting my pocket
Officer,Greater Noida,Full Time,Stores & Material Management Department,6 Sep 2023,5.0,4.0,3.0,4.0,4.0,4.0,3.0,"Great work palace and more opportunities for enhancing your skills ,","Promotion and increment not good, mostly staff relationship with other staff, Nepotism"
Logistics Manager,Greater Noida,Full Time,SCM & Logistics Department,4 Aug 2023,4.0,3.0,3.0,4.0,2.0,3.0,4.0,"Salary is really good. Openness , you can touch all verticals and not limited to just your profile.",Office is right at the end of Greater Noida. Long travel time & SOP's missing.
Apprentice Trainee,"Shirur, Maharashtra",Full Time,Engineering Department,7 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Very nice company. Hr policy very good. all facilities available. Pemet very good. Management,staft are good.",Very nice company never Dislikes.
Electrical Maintenance Engineer,New Delhi,Full Time,"Operations, Maintenance & Support Department",7 May 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Haier india ia a 100 percent subsidiary of haier group. a fast growing consumer durables company. Haier is also the world's no 1 brand in refrigeration appliances.,"Company and management is good and home appliances product and service refrigerator also good, required service engineer training other wise company is very good"
Production Manager,Pune,Full Time,Production Department,6 Aug 2023,3.0,2.0,3.0,3.0,2.0,2.0,1.0,"On time salary, adhearance on policy","Negligible annual salary rise, heavy work pressure, illogical demand from management."
Deputy Manager,Greater Noida,Full Time,"Operations, Maintenance & Support Department",3 Sep 2023,3.0,1.0,2.0,3.0,4.0,3.0,2.0,"Job security, salary on time, some seniors are very supportive, transportation, monthly awards","Work Life balance, 24x7 type working, late sitting,some HOD had no vision about there department, SOI department ,as this department has no work in company only gathering data and deduct the salary of employees, less increament, No JD , Most of the HODs are Dummy and passing the time there. Unnecessary shouting"
Site Supervisor   (working remotely),,Full Time,Refrigerator Cabinet foaming  Department,4 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Haier appliances is good company my skills very improve & work confidence,Haier appliances company that good if manpower skills developed
Qms Quality Engineer   (working remotely),,Full Time,Other Department,3 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Customer satisfaction on time delivery focus on the process,Can't tolerate the loss of the company
Quality Engineer,Greater Noida,Full Time,Production & Manufacturing Department,3 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes best company of haier.,Yes   good knowledge of haier company.
Sales Consultant,Surat,Full Time,Category Management & Operations Department,0 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,4.0,"Freedom work facilities 
And no work pressure",Market and other composition brand provide HAIER marketing level poor
Manager Accounts And Internal Control,Greater Noida,Full Time,Finance Department,9 Jun 2023,2.0,4.0,1.0,3.0,3.0,2.0,1.0,"Office closes at 5:30 sharp, gym and sport facilities available can access after ofc hours","Culture 
No opportunity to learn and try new things to grow
PBC salary structure"
Quality Inspector,Noida,Full Time,"Operations, Maintenance & Support Department",5 Jul 2023,5.0,4.0,5.0,3.0,4.0,3.0,3.0,All things is good and also the environment and senior are friendly with employees.,The security staff is not so good.
Sales Manager,New Delhi,Full Time,Retail & B2C Sales Department,6 Sep 2023,3.0,5.0,2.0,3.0,5.0,4.0,3.0,Work life balance,No discussion at Branch level
Branch Logistics Manager,"Raipur, Chhattisgarh",Full Time,SCM & Logistics Department,3 Sep 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Good place to work.,Need to work addyional time
Brezzing,"Mumbai, Maharashtra",Part Time,Brezzing Department,0 Sep 2023,3.0,2.0,2.0,2.0,2.0,1.0,1.0,Salary is not very good and this giving break 1 year,Not yeam
Regional Sales Officer,Pune,Full Time,Retail & B2C Sales Department,8 Sep 2023,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Led market retailer and parimary distribution handling he team,Nothing one
Assistant Manager,Pune,Full Time,Production & Manufacturing Department,4 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,This is the best organization for new learning and carrier growth. I learned so much thing with the help all top management support.,No
Dsc Manager,"Mehsana, Gujarat",Full Time,After Sales Service & Repair Department,7 Sep 2023,5.0,4.0,4.0,5.0,5.0,5.0,5.0,supportive & helping in nature,difficult to manage work life
Qa Qc Inspector,Greater Noida,Full Time,Quality Assurance and Testing Department,5 Aug 2023,4.0,4.0,4.0,3.0,3.0,4.0,3.0,"Nice looking, wonderful facilities",Miss behaviour
Functional Consultant,Vijayawada,Full Time,Finance Department,3 Jun 2023,2.0,2.0,1.0,2.0,3.0,3.0,1.0,Good for sakes employees only,"Less women employees other than sales No recognization for depts
No growth for off role employess"
Assitant General Manager- QA,Pune,Full Time,Production & Manufacturing Department,0 Jun 2023,2.0,2.0,1.0,2.0,1.0,2.0,2.0,Being a MNC people knows where your person working,At first Haier shows EMC part of salary then they uses to calculate as per their understanding & calculations. Later you will realise that you beaver had get that amount which was mentioned in your offered letter.
Store Executive,Greater Noida,Full Time,Stores & Material Management Department,6 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good timing and working culture,Not to dislike
Hospital Administrator   (working remotely),,Part Time,General Insurance Department,4 Jun 2023,1.0,5.0,2.0,5.0,4.0,1.0,3.0,I am like to working for hair customer care support is very good and work is nice and very simple and enjoying to,What's this like system message Abhi Tak Nahi Jaan Paye Hain
Deputy Manager,"Greater Noida, Uttar Pradesh",Full Time,"Operations, Maintenance & Support Department",4 Jul 2023,4.0,4.0,3.0,3.0,3.0,3.0,3.0,"Good learning,  good area of learing scope",Very less financial growth
Assistant Engineer,Pune,Full Time,Production & Manufacturing Department,1 Aug 2023,5.0,4.0,5.0,4.0,3.0,4.0,4.0,"Team work 
 product totaly qualification","Bad activities  one-one man work 
people behaviot"
Service Engineer,GAUHATI,Contractual,After Sales Service & Repair Department,9 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,For my better performance in future,About service center for less performance in field
