Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Assistant Manager,"Jammu, Jammu & Kashmir",Full Time,Sales Support & Operations Department,4 Sep 2023,3.0,3.0,2.0,3.0,2.0,3.0,3.0,"Company is too much growth oriented. 
Very disciplined working system for the employees. Very competitive culture within the organisation. Only the strong can survive and grow here. Rest no place for the week here. 
Please think of joining the company only if you have the guts to stand out of the crowd and prove your worth. 
If you are a normal person, you will find it very challenging.",Nothing to be disliked.
Tool Room Engineer,Neemrana,Full Time,Engineering Department,2 Sep 2023,2.0,2.0,3.0,2.0,2.0,3.0,2.0,"cafeteria is very nice. 
My Professional journey start Point..","Havells Policy Name: Hiring and Firing. 
This is Very -Very bad policy for all Havells employees.
Mene mere senior logo ko machino k Piche Chipata hue deka Hai.  Human Resources Walo ko Dekhte Hii."
Research Engineer,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,1 Sep 2023,3.0,3.0,4.0,2.0,4.0,2.0,2.0,Learning is good. Freedom to work in different various projects.,Salary is not par with market. Not even one benefit other than salary CTC. Strict timings and very less holidays and Leaves.
Deputy Sales Manager,"Surat, Gujarat",Full Time,Retail & B2C Sales Department,8 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Everything to like about havells, be it work life balance or annual appraisal.","Ever changing product & sales policy, becomes headache for sales team."
Assistant Manager,"Raipur, Chhattisgarh",Full Time,Marketing Department,1 Aug 2023,3.0,3.0,2.0,3.0,3.0,3.0,3.0,Good company clear about job role and responsibilities,One man workload no internal support for vendor management and account part
Purchase Executive,New Delhi,Full Time,Procurement & Purchase Department,0 Aug 2023,5.0,5.0,5.0,5.0,4.0,3.0,4.0,Havells India Ltd is a top one manufacturing company in electronic industry. And here is lot of opportunities to learn new and multiple type of skills. If I'm say in one word great work place.,"Every thing is best, no dislikes."
Assistant Manager,"Baddi, Himachal Pradesh",Full Time,Production & Manufacturing Department,7 Aug 2023,4.0,4.0,4.0,2.0,4.0,4.0,2.0,"As if I am from quality department so I must say I have got a good quality head Mr. Abhishek sir , he scold us like a teacher and care as a family.",Strict timing.
Project Associate,Ghiloth,Full Time,Construction / Manufacturing Department,2 Aug 2023,4.0,3.0,2.0,3.0,5.0,3.0,4.0,Freedom for work and great place to work,Some policy including some monopoly type Person here they don't understand the things ! They need everything Run as per their.ideas 😂
Branch Product Manager,"Pune, Maharashtra",Full Time,Sales Support & Operations Department,1 Aug 2023,2.0,2.0,1.0,2.0,1.0,1.0,2.0,Full of politics and favourism at senior management level. Everytime they realising us that we are getting salary from company.Branch level politics is very high. They finds out replacment very immediately. Only mental torture. RSM thinks they are the owner of company.,👎No job security and stable company to work.
Area Sales Manager,Hyderabad/Secunderabad,Full Time,Retail & B2C Sales Department,1 Aug 2023,5.0,4.0,4.0,5.0,5.0,4.0,4.0,"Very good company with prescribed policies and strong connect with their partners…
Will clear the customer payments and applicable credit notes and incentives to partners and applicable vendors.
We can learn so many things with different vertical and collaborative work environment.",We can’t take any risk decisions for business development.
Assistant Manager,Alwar,Full Time,Production Department,4 Aug 2023,4.0,3.0,4.0,3.0,4.0,3.0,3.0,Job in Havells Specially in Production department is far better for local candidate. You have learn lot of things at one place.,No value of your experience here. Only requirement matters. No Transport facility for shift staff. If you have no vehicle then you will be always in trouble also no allowance for that
Deputy Manager,New Delhi,Full Time,HR Business Advisory Department,4 Aug 2023,4.0,3.0,4.0,3.0,4.0,3.0,4.0,"Friendly and collaborative senior leadership. 
Willing to give space and time for growth and career development. Always open to suggestions and able to make me feel equal irrespective of huge hierarchy difference. 
Wonderful and heart filling lunch at main corporate office.","Wlb, employee benefits and inflated compensation. The amount to actual take home, there is a huge difference and nobody wants to change that.
Organization is not willing to spend a penny on employee training and development and lacks severe R&R for employees from support functions."
General Manager R,Noida,Full Time,Engineering & Manufacturing Department,3 Aug 2023,3.0,3.0,3.0,3.0,3.0,2.0,3.0,Good company to work in disorganized manner. Due to that lot of learning and understand the multiple perspective.,Hierarchical organization so lot of technical things are not considered based on data and test results.
Assistant Manager,"Jaipur, Rajasthan",Full Time,Enterprise & B2B Sales Department,2 Aug 2023,2.0,2.0,2.0,3.0,4.0,3.0,2.0,I like only 5 day week culture here,"No training ,your performance doesn't matter ,you have to be talkative only ,some employees work hard but nobody will notice if you are cunning like fox this organization is best for you because hard working doesn't matter here ."
Senior Sales Manager,Hyderabad/Secunderabad,Full Time,Retail & B2C Sales Department,2 Aug 2023,2.0,1.0,1.0,2.0,1.0,1.0,1.0,Nothing,"Bonded labour .. no chance of speaking .. if from any good company or good college .. it’s like hell .. 
lala company .."
Branch Product Manager,"New Delhi, Delhi",Full Time,Retail & B2C Sales Department,9 Jul 2023,5.0,3.0,5.0,3.0,5.0,3.0,5.0,"Good ethics 
More empowerment
Great infrastructure 
Huge marcom investment","Politics 
Toxic work culture
Abusive language by top management"
Senior Distribution Sales Executive,"Mumbai, Maharashtra",Full Time,Enterprise & B2B Sales Department,1 Jul 2023,3.0,1.0,1.0,4.0,5.0,1.0,2.0,"1) Increment are good
2) lots of opportunities and change in product line as per your convince 
3) suppotive team, Great mentors","1) No proper billing system, Has to trace the order till the completion of its billing.
No support form HO for it.
2)no work life balance at all even have to attend meeting and be on feild on Saturdays when its officially off.
3) No proper expenses refunded for travelling and food or any other official expenses done from your end.
4) Growth is slow
5)no incentives even after completion of target
5) no employee concern no support from HO or higher authorities 
6) Feild person is least concerned by the conpany...Read More"
Am Production,"Alwar, Rajasthan",Full Time,"Operations, Maintenance & Support Department",8 Jul 2023,5.0,5.0,4.0,5.0,4.0,4.0,4.0,Best company in electrical and electronics sector.,"Some times your senior play with you but don't worry it's not about financial terms, it's only with your promotions."
Deputy Manager,Neemrana,Full Time,Engineering & Manufacturing Department,5 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5 day working. Freedom for work and company location is also good.,Frequent travelling due to work. Leaves are very less as compared to other MNCs.
Assistant Manager,"Neemrana, Rajasthan",Full Time,Engineering Department,1 Jul 2023,3.0,4.0,4.0,3.0,4.0,4.0,3.0,Seniors and Management is very supportive and always listen to your Approach of work.,"There are few of the people inside the org. Very toxic and always gossips about other work and demotivated you, I think in my opinion those of the few points which needs to take care from Upper Management as well to actually for great place to work culture ."
Assistant General Manager,"Kanpur, Uttar Pradesh",Full Time,Marketing Department,9 Jul 2023,5.0,4.0,3.0,4.0,4.0,4.0,4.0,"Company is really good , Only if he has to start evaluating Vertical growth timely then he will be more efficient organization.",Timely appraisal not their and perception and person based influence more.
Deputy Manager,"Pune, Maharashtra",Full Time,Retail & B2C Sales Department,9 Jul 2023,5.0,5.0,5.0,3.0,5.0,4.0,4.0,"1)Work like a MNC ,Saturday and Sunday Off .
2)Every division Employee work with joint  market working.
3)Every year company gives some Money in the time of diwali for special Sweets And For celebration.","# TA DA Norms 
#Upcountry Market Food Allowances.
#No Manegarial Work."
Assistant Manager,"New Delhi, Delhi",Full Time,Sales Support & Operations Department,2 Jul 2023,5.0,5.0,1.0,5.0,1.0,5.0,1.0,Great but official environment not good,Seniors always do their own work and never motivate their subordinates and always work for themselves and impose their failure on their subordinates.
Senior Executive,"Siliguri, West Bengal",Full Time,Retail & B2C Sales Department,8 Jun 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Work culture environment & learnings of various things like sap & others,Deduction in ctc.. Ctc is very high but net salary is very low
