Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Service Engineer,"Mumbai, Maharashtra",Full Time,Engineering Department,1 Sep 2023,2.0,3.0,4.0,2.0,3.0,3.0,1.0,Work lofe balance is good…but increment does not happen…develope your skill and switch ASAP,Managers behaviour not good for all employees
Working Capital- Account Receivable - Collections Specialist,Pune,Full Time,Operations Support Department,1 Sep 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Provides opportunity to do upskill and shift to new teams.,The ground floor at Hadapsar location needs to be renovated. The carpet and vent collects too much dust which needs to be taken care of to avoid people from catching allergies and getting running nose.
Store Keeper,Gurgaon/Gurugram,Full Time,SCM & Logistics Department,1 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,There is beautiful environment and multiple skills development chances,Honeywell policy is different with third party worker's and honeywell permanent worker's
Senior System Engineer,Pune,Full Time,Engineering Department,6 Aug 2023,2.0,2.0,2.0,1.0,3.0,1.0,1.0,"Honeywell or HAIL, used to be a great place to work. A facade of being ""great work place"" ""MNC culture"" still is there.","Horrible employee retention, one of the worst in employee benefits & salary structure in industry. Promotions are based on ""Who knows whom"" rather than merit/performance. Work life balance is very bad. Management is getting worse by the day & they try to manipulate any feedback services to feed their reputation."
Advanced Software Engineer,"Pune, Maharashtra",Full Time,Software Development Department,2 Aug 2023,4.0,4.0,5.0,4.0,5.0,4.0,4.0,"Overall good place to work.
Average staying years for a employee may be highest in pune",Same type of work and very deficult to change business unit and switch to other areas
Project Engineer,"Bareilly, Uttar Pradesh",Full Time,Operations Support Department,9 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"I am very good in Honeywell , I have good place from the whole company team leader sip is good all work is done well ,it is good",there's is natthing in Honeywell that's is don't like if I don't like it ..
Senior Software Engineer,"Pune, Maharashtra",Full Time,Engineering Department,8 Jul 2023,4.0,4.0,3.0,2.0,4.0,3.0,2.0,Only thing that makes a place worth staying is your manager. Honeywell provides job security.,Personal growth is personal. Department doesn't have money nor time to make employees feel their worth.
Senior Network Engineer,Pune,Full Time,Engineering Department,6 Jul 2023,3.0,1.0,2.0,1.0,3.0,1.0,1.0,Nothing is worth liking,"No growth,  grouping, newcomers not allowed to mix up, environment will make you mentally ill if you expect growth. Let others take advantage of your hard work and everyone will be happy."
Procurement Buyer,"Gurgaon/Gurugram, Haryana",Full Time,Procurement & Purchase Department,6 Jul 2023,4.0,3.0,4.0,3.0,4.0,5.0,3.0,Working culture and Learning opportunities.,Work Life balance is not so good in my profile.
Vendor Management Specialist,Bengaluru/Bangalore,Full Time,Finance Department,5 Jul 2023,4.0,4.0,3.0,3.0,4.0,3.0,3.0,Work life balance is good,"You will never get any extra benifits like monthly point any gift voucher anything apart from salary, and cab facility is not free for everyone this is very frustrating thing"
Project Lead,Pune,Full Time,Software Development Department,4 Jul 2023,2.0,1.0,2.0,2.0,3.0,1.0,1.0,"Learning tools 
Interaction with global customers 
Good project documentation","Long working hours 
Rude managers 
Office Politics 
Politics in promotions 
Ignorance"
Chemical Engineer,Gurgaon/Gurugram,Full Time,Service Delivery Department,0 Jul 2023,3.0,4.0,5.0,4.0,3.0,3.0,4.0,"Good environment, pay is good and benefits are good. People are knowledgeable.","More department specific, work is mundane and department leadership is sort of not having a proper vision"
System Engineer Ii,Pune,Full Time,GES ES Department,2 Jun 2023,4.0,3.0,4.0,3.0,4.0,4.0,3.0,Freedom for work timing and more flexibility,Management politics is more in Honeywell. Only few people's are getting promoted by managers
Service Engineer,"Bangalore Rural, Karnataka",Contractual,Other Department,3 Sep 2023,5.0,4.0,3.0,4.0,4.0,3.0,3.0,Good working environment,No promotion
Project Engineer,Pune,Contractual,Technology / IT Department,2 Sep 2023,4.0,3.0,5.0,4.0,5.0,4.0,3.0,Team support.,Never ending Work pressure.
Safety Officer,"Kolkata, West Bengal",Contractual,Community Health & Safety Department,8 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Job culture and facility for permanent employees.,No benefit for contractual employees
Advanced Software Engineer,Hyderabad/Secunderabad,Full Time,Software Development Department,8 Sep 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Compensation and Job Security,Nothing
Senior IT Analyst II SAFe 6 Scrum Master,Pune,Full Time,Community Health & Safety Department,4 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Nice US culture , on-site opportunities","No office timing, location of office is near dumping ground"
Service Engineer,Kolkata,Full Time,Service Delivery Department,2 Sep 2023,5.0,5.0,5.0,3.0,5.0,5.0,2.0,Learning opportunities are very good. Great technical support team.,Promotion and vertical movement is very slow.
Plant Head And Operations Manager,Gurgaon/Gurugram,Full Time,"Operations, Maintenance & Support Department",1 Sep 2023,5.0,5.0,5.0,5.0,4.0,5.0,3.0,Overall learning and culture values of people and employees,Increments and job security
Sales Manager,Kolkata,Full Time,Sales Support & Operations Department,1 Sep 2023,2.0,2.0,3.0,4.0,1.0,2.0,2.0,Policy and other benefits,Work culture….behaviour of higher authority
Test And Manufacturing Engineer-II,Pune,Full Time,Engineering Department,1 Sep 2023,3.0,3.0,1.0,2.0,4.0,4.0,2.0,There is a job security.,Lack of communication between leadership and employees. Lack of Promotion and Salary satisfaction.
Solution Consultant,Gurgaon/Gurugram,Full Time,IT Infrastructure Services Department,0 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excellent Employer.,Nothing so far. It has been a great Employer.
System Engineer II (Senior Engineer),Pune,Full Time,IT Network Department,9 Aug 2023,3.0,3.0,3.0,3.0,4.0,4.0,3.0,Flexible work hours,"Less career growth
Less pay scale"
Senior Software Engineer,Bengaluru/Bangalore,Full Time,Software Development Department,9 Aug 2023,3.0,4.0,2.0,2.0,3.0,3.0,2.0,work life balance is good,growth opportunities are quite limited
System Engineer 2,Pune,Full Time,Technology / IT Department,5 Aug 2023,3.0,2.0,4.0,2.0,5.0,3.0,2.0,Job security,"Low salary, late promotions"
Sr.advanced Software Engineer,"Bengaluru/Bangalore, Karnataka",Full Time,Iot Department,5 Aug 2023,4.0,3.0,3.0,3.0,4.0,3.0,4.0,Had a good Growth in the tenure i worked,Work-life balance is not good during the tenure.
Customer Care Executive,Gurgaon/Gurugram,Full Time,Non Voice Department,4 Aug 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Work culture is,Work culture is
Systems Engineer,Pune,Full Time,Engineering Department,3 Aug 2023,2.0,1.0,2.0,1.0,5.0,1.0,1.0,The Global offices and site opportunities we get,"Way low salary structure, no mentorship"
Quality Engineer,Chennai,Full Time,Construction Engineering Department,2 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Life will be complicated after joining in site,No value for off role engineer
Senior System Engineer,Pune,Full Time,Power Supply and Distribution Department,0 Aug 2023,3.0,3.0,2.0,2.0,2.0,2.0,2.0,Got onside opportunity,HR POLICIES AND PROCEDURES NOT GOOD
3D Auto CAD Engineer,Pune,Full Time,Engineering Department,8 Aug 2023,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Good & supportive staff helping nature & friendly working style,Nothing
Instrumentation Design Engineer,Bengaluru/Bangalore,Full Time,Engineering Department,5 Aug 2023,4.0,5.0,4.0,1.0,4.0,5.0,2.0,"Good work culture, improvement in employees.",Compensations
Project Engineer,Bangalore/Bengaluru,Full Time,Other Department,2 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Well environment nature,Careing to people
Logistics Engineer,Gurgaon/Gurugram,Full Time,Production & Manufacturing Department,1 Aug 2023,4.0,4.0,5.0,4.0,4.0,5.0,4.0,Good people,Slow management response
Senior Erp Analyst,Hyderabad/Secunderabad,Full Time,Business Intelligence & Analytics Department,1 Aug 2023,3.0,2.0,4.0,3.0,1.0,1.0,2.0,Learning,"Wellness 
Work life balance
Value for employee"
Customer Experience Specialist,Bangalore/Bengaluru,Full Time,Customer Success Department,9 Aug 2023,2.0,1.0,5.0,3.0,3.0,2.0,2.0,Strong Brand,Work life balance
