Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Team Lead,Pune,Intern,"Operations, Maintenance & Support Department",6 Sep 2023,2.0,1.0,2.0,1.0,4.0,1.0,1.0,"Famous MNC company, work experience will be valuable in future.","Very Toxic work culture, poor work life balance. No C off , even after working 7 days in week."
Back Office,Mumbai,Full Time,Back Office Department,5 Sep 2023,3.0,3.0,3.0,2.0,4.0,5.0,2.0,"Working of RBI GUIDE LINE & COMPANY NORMS WORKING 
👍 Good","कंपनी केवल बड़े अधिकारियों को facility , salary package, permotion देती है छोटे कर्मचारियों पर कोई ध्यान नही दे रही 
छोटे back office कर्मचारी बिचारे पूरे दिन सुबह से शाम तक working में busy रहते है फिर भी company  permot नही कर रही।"
Deputy Manager,"Nashik, Maharashtra",Full Time,"Operations, Maintenance & Support Department",4 Sep 2023,5.0,4.0,4.0,5.0,4.0,4.0,3.0,"No boundaries for Learning,No obstacles for doing and showing your improvement,Open and welcome culture to new ideas, Good team work",Career growth - Even after good performance consistently with good pms score promotion can't happen as position is less
Intern,Mumbai,Intern,Accounting & Taxation Department,2 Sep 2023,5.0,4.0,5.0,2.0,5.0,5.0,5.0,"Its working environment, along with responsibility toward society","Its working enviroment, along with responsibility toward society"
Assistant Manager Maintenance,"Igatpuri, Maharashtra",Full Time,"Operations, Maintenance & Support Department",2 Sep 2023,5.0,5.0,5.0,1.0,5.0,4.0,1.0,Freedom of showcase your skill. And main thing job security.,Promotion/appraisal is not as per skill. Only given for bootlickers. Talent not got any awards.
Senior Engineer,"Chennai, Tamil Nadu",Full Time,Engineering & Manufacturing Department,0 Sep 2023,5.0,4.0,4.0,3.0,4.0,2.0,3.0,Its has an organised work structure. Good people support.,Delays in promotion. No ctc normalising. Will expect more from employee but gives only little penny as hike.
Collection Executive,"Hyderabad/Secunderabad, Telangana",Full Time,Other Department,4 Sep 2023,4.0,4.0,2.0,3.0,3.0,4.0,2.0,Good,"Manager level work style is not good.
High level management need only work progress, they don't understand about employees health and personal problems"
Deputy Manager,Mumbai,Full Time,Production & Manufacturing Department,6 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Creates opportunities and very much open for the  Trials irrespective of time,A company where cost cutting projects are always on demand ... Probably lots of follow up required to get the work done ... which is NVA inspite of strong systems in place .
Lead Engineer,Chennai,Full Time,Engineering & Manufacturing Department,5 Sep 2023,3.0,3.0,4.0,2.0,5.0,2.0,2.0,Working on innovative ideas,Work culture from top to bottom is person oriented. Have to please your boss and they expect it as well
Principal Engineer,Chennai,Full Time,Engineering & Manufacturing Department,1 Aug 2023,2.0,1.0,1.0,2.0,3.0,1.0,1.0,Working on multiple projects at a time with new technologies & futuristic vehicle,"Inclusiveness in missing & more of biased working culture, no growth for the potential candidates."
Trainee Officer,Nagpur,Contractual,Transmission assembly  Department,1 Aug 2023,5.0,5.0,5.0,5.0,1.0,5.0,1.0,Working atmosphere & facilities are excellent,Because at the time of joining they say that at present you are join on the basis of diploma but after sucessfullying completion of degree we will absorb you as graduate engineer but after completing degree they deny for that.
Design Engineer,"Chengalpattu, Tamil Nadu",Full Time,Electrical and electronics  Department,8 Aug 2023,5.0,3.0,5.0,4.0,5.0,4.0,3.0,"Best place for learning.. 
MRV will make you technically very strong.. 
You can't get these learning in any other automotive industry!!!","Hard to do work life balance. 
Ofcourse work will be there.. But its hard to spend time with family."
Team Leader,Pune,Full Time,Production & Manufacturing Department,6 Aug 2023,3.0,3.0,2.0,2.0,4.0,3.0,2.0,"Skope to increase your knowledge and 
professional strength.",Salary structure very bad even after you have great skill and good experience.
Junior Associate Engineer,Mohali,Full Time,Production & Manufacturing Department,5 Aug 2023,1.0,2.0,1.0,2.0,3.0,3.0,1.0,"Food 
Leave benifits","Compulsory overtime
Appraisal 5-8%
Huge work pressure
Autocracy of management
Small wages to technical workers... Even less than contractual sweepers ..
Force employees to do overtime
Employee don't feel respectful in the company"
Assistant Manager Quality Assurance With 6 Plus Years Of Experience In OEM Mahindra And Mahindra,"Zahirabad, Telangana",Full Time,Production & Manufacturing Department,5 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Worst company, internal politics especially Zaheerabad plant Telangana. I don't recommend this company.","Internal politics, union issues ,No work life balance ,No promotion or salary hike, worst culture"
Junior Engineer Mechanical,Chapperchiri,Full Time,Engineering Department,4 Aug 2023,3.0,3.0,3.0,2.0,3.0,4.0,2.0,Company culture and secure environment for ladies staff .. and all facilities are provided by their good performance of punctuation which I like most thanks for all these security.,a lot of hard work on less salary and not permanent to girls .
Lead Engineer - Design,Chennai,Full Time,Engineering Department,3 Aug 2023,3.0,3.0,3.0,2.0,5.0,4.0,2.0,"1) Job Security 
2) Training’s
3) Comfort","1) Appraisal:- Too much politics results managers push skilled person down
2) Work life balance:- first point is connected to this one, after doing all the effort finally same top guy gets high benefit.
3) Satisfaction:- Connected to 1 and 2"
Manager- Electrical Maintenance,"Mohali, Punjab",Full Time,"Operations, Maintenance & Support Department",0 Aug 2023,4.0,1.0,3.0,4.0,5.0,3.0,3.0,Job security,"Office politics, Zero Work life Balances.
Very less training programmes, Weak HR policies deployment varies plant to plant 
Medical insurance amount low, very less leaves provided"
