Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Relationship Manager,Pali Rajasthan,Full Time,Retail & B2C Sales Department,6 Sep 2023,5.0,4.0,5.0,3.0,3.0,4.0,3.0,The best behaviour with staff members and if uh want to earn much more and you are fresher then just move forward to it,Every was quite good but the basic salary is not so ok but have so much to earn in sales
Customer Care Manager,"Guntur, Andhra Pradesh",Full Time,Back Office Department,5 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,In this post we are improving communication skils.life balancing 😊,Not comfortable for timings .too long
Production Planning And Control Executive,Manesar,Contractual,Production & Manufacturing Department,5 Sep 2023,5.0,4.0,3.0,5.0,3.0,5.0,4.0,"Almost Good Working Culture , if you wanna there is a lot of things to learn
Otherwise just work and Leave",Senior behaviour towards Contractual Employees
Assistant Manager,Gurgaon/Gurugram,Full Time,After Sales Service & Repair Department,5 Sep 2023,4.0,3.0,4.0,5.0,5.0,3.0,4.0,"Great company to learn and build career.
Salary & benefits is great
Reputation is great.","Work culture is average.
Work is sticked to their format and we have to go by that only and not my our way..."
Application Developer,Gurgaon/Gurugram,Intern,Software Development Department,3 Sep 2023,5.0,5.0,3.0,4.0,5.0,5.0,4.0,My experiance as an App developer at Maruti Suzuki was amazing.It has taught me so many new technologies and all about a corporate culture also helped to improve my skill in various domains. Overall the food and samosa is amazing. Must Intern here because with all these you will get a great mentor who will be very helpful toward the journey.,Technologies used were very outdated.
Maruti Suzuki Gurgaon,Gurgaon/Gurugram,Contractual,"Operations, Maintenance & Support Department",1 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,4.0,"Good skills and Good company rules and
And my dream is to work in a four wheeler company. I feel proud in a four wheeler company because the rules and measurement of Maruti are very good.",No
Quality Control Executive,Manesar,Contractual,Production & Manufacturing Department,1 Sep 2023,5.0,5.0,4.0,5.0,5.0,5.0,5.0,"Discipline, Working culture and Good behaviour towards its employees which helps to learn more things.",Not giving chance to be a permanent employee.
Relationship Manager,"Noida, Uttar Pradesh",Full Time,Sales Support & Operations Department,1 Sep 2023,3.0,3.0,3.0,3.0,1.0,3.0,3.0,I like maruti suzuki arena because maruti segment car is a selling point,Maruti car waiting high model customer very disappoint
Billing Manager   (working remotely),,Full Time,Back Office Department,0 Sep 2023,4.0,4.0,4.0,4.0,5.0,5.0,4.0,I HAVE TWO VERY DEFFERENT TEAM MEMBER. ONE EMPHATICALLY NODS MOMENT I START TO TALK .,I IGNORED INSTRODUCTIONOFTEN WHEN I WAS YOUNGSO I UNDERSTAND THE MENTALITY NO I CAN
Mechanical Engineer,"Patna, Bihar,  Delhi, Noida, Kolkata, Gurugram",Full Time,Engineering Department,8 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Actually I'm not working in this  company, so I'm not real review and rating but then I'm 5/5 rating for my side in my view under a my knowledge of this company. So I'm ful review and rating.","I have not any experience in this company and I'm not work
So I'm not bad reviews"
