Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Senior Sales Manager,"New Delhi, Delhi",Full Time,Retail & B2C Sales Department,3 Sep 2023,5.0,5.0,4.0,4.0,5.0,5.0,5.0,"Undoubtedly, it's one of the Finest Organisations I've Worked So Far.
• The Treat Sincere Employees as Assets.
• Work-Life Balance is Good.
• Management is Transparent.
• Managers are Empowered.
• Spend on Developing & Upgrading Management/Leadership/Soft Skills of Employees.","• System/Processes ate Slow.
• IT is bit Outdated.
• Bureaucracy in Approvals"
Area Sales Manager,"Ahmedabad, Gujarat",Full Time,BD / Pre Sales Department,1 Sep 2023,5.0,5.0,3.0,3.0,5.0,4.0,3.0,"Panasonic India is slow interms of working,skill development is also poor, only politics and lala company",Typical government company
Senior Executive Stores And Logistics,"Jhajjar, Haryana",Full Time,Stores & Material Management Department,9 Jul 2023,3.0,4.0,3.0,4.0,5.0,3.0,3.0,Work life is balance 5 days working job security is high,Top management not supportive special in APIN division jhajjar Technopark
Assistant Manager,Jhajjar,Full Time,Planning Department,8 Jul 2023,3.0,5.0,2.0,3.0,3.0,4.0,2.0,"Work Life Balance
Comparing same industry, other companies pressure.
This company is quite chill",Wish it be Profit Making organization
Assistant General Manager (AGM) - Business Finance,"Thane, Maharashtra",Full Time,Finance Department,5 Jul 2023,3.0,3.0,1.0,3.0,3.0,3.0,2.0,"Open work culture, senior management is accessible","Too much biased in favour of Japanese expats, culture of favouritism among top management and delayed career advancement"
Retail Sales Officer,"Jaipur, Rajasthan",Full Time,Sales Support & Operations Department,9 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,3.0,"Panasonic  product quality is very good ,in company culture is very nice,","Panasonic company in DC AND SEMI AUTO MACHINE  product range is limited modal,"
Brand Manager,Gurgaon/Gurugram,Full Time,Marketing Department,6 Jun 2023,3.0,2.0,3.0,2.0,2.0,4.0,3.0,"The company culture is vibrant
You receive salary on time 
The Japanese counterparts are very respectful","Panasonic is struggling to make sales since a long time. It is highly understaffed due to which there is no work life balance, specially in my department. The management and other teams have very poor understanding of the value of Marketing and we struggle to get work done though agencies because we are not not supported well by theother teams on which we are dependent for the budgets. Any body looking to join under marketing or category management roles- do not join here....Read More"
Junior Sales Officer,"Kolkata, West Bengal",Full Time,,7 Jul 2023,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Lots of R & N related training which enhanced skill development,Company could focus more on the Salary part based on work
Regional Training Manager,"Kolkata, West Bengal",Full Time,After Sales Service & Repair Department,7 Jul 2023,2.0,1.0,2.0,2.0,1.0,1.0,1.0,Japanese products are good and that's the only thing I can say about right now.,It's a completely one man army organization with lot of monopolies.
Personal Banker   (working remotely),,Full Time,Banking Operations Department,2 Sep 2023,1.0,3.0,5.0,4.0,4.0,3.0,3.0,ncbhisabc whisdbwa csd cihs Cj aiSHDC DSAHICDIS AIC SAHC DWAHSC HAS,NCSEJD CD SAC AS CHID SHC SHAD CJS CHD SACBJ ADSKNC SACD.
Area Sales Manager,"Chandigarh, Chandigarh",Full Time,Retail & B2C Sales Department,8 Sep 2023,4.0,5.0,3.0,4.0,4.0,4.0,3.0,Work life balance,Not aggressive in marketing
