Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Software Developer Cloud,Chennai,Full Time,Software Development Department,4 Sep 2023,1.0,1.0,1.0,3.0,1.0,1.0,2.0,Company culture is terrible please don't join here and waste your life. No cab facilities for normal shift,"No process, hectic work load ,one individual mapped to 4projects at a time saying 25% allocation each."
Team Manager,Chennai,Full Time,Retail & B2C Sales Department,2 Sep 2023,3.0,3.0,2.0,4.0,2.0,3.0,2.0,Employee benefits & policies,The employee policies are good but the middle level management doesn't allow employees to work as per policy & utilise the benefits. HR department doesn't care if employee benefits are communicated & utilised which results in dissatisfaction & attrition
Engineering Manager Engineering Head Mechanical Architect,"Pune, Maharashtra",Full Time,Connected care Department,0 Sep 2023,3.0,4.0,4.0,4.0,3.0,1.0,1.0,Work life balance,"No growth opportunity, work quality is not as per experience level. After 15+ experience they will consider you as CAD engineer, even though your designation is good. Lot of wastage of resources. Leaders are nonsense."
Marketing Manager,"Mumbai, Maharashtra",Full Time,Marketing Department,7 Sep 2023,1.0,2.0,1.0,3.0,3.0,1.0,2.0,"Salary, decent work life balance and benefits",It’s almost a startup culture. Nothing is organised or structured. Higher management is putting out fires everywhere. Terribly unorganised for such an old MNC
Product Costing BPE,Chennai,Full Time,Operations Department,3 Sep 2023,5.0,5.0,5.0,5.0,5.0,4.0,5.0,Can get more chance to explore different domain. There is a big finance set up. You can ask for changes in your process every 24 months..,What I don't like is people are not moving out of the process even after so many years. Which is an issue and can find domination on other new members. Hr must take some strick action toward people movement from the respecting unit to different.
Digital Marketing Lead,"Gurgaon/Gurugram, Haryana",Full Time,Digital Marketing Department,1 Sep 2023,1.0,3.0,1.0,2.0,1.0,1.0,1.0,"Managers gives freedom to work
Healthy work life balance
Well structured process","Highly politicised organisation
People who can play politics can only survive
Extreme hire n fire culture
No one comes to office"
Software Architect,Bengaluru/Bangalore,Full Time,Software Development Department,0 Aug 2023,1.0,1.0,1.0,2.0,1.0,1.0,1.0,Company brand name,"Hostile work culture
Unprofessional managers with top micromanagement skills and full bias towards old employees.
Existing employees who are 7+ exp in Philips who are highly unprofessional, insecure with half-knowledge will do anything to secure their job and will shout at colleagues in the meetings. These employees are spoiling thebrand name of Philips and have the full support of Software leaders.
Hr heads are there without any power who are puppets in the hands of managers.
No job security, you will be thrown out of the company if you bring the actual situation about unprofessional, idiotic behavior of insecure old employees....Read More"
Software Engineer Ii,Bengaluru/Bangalore,Full Time,Software Development Department,5 Aug 2023,4.0,5.0,4.0,4.0,3.0,4.0,4.0,"If the team is good, everything will be good.","There is a team called Connect IOT or IOT or Connect (Whatever they call). That is the worst team I ever worked with. For people who are joining Philips, be careful. DO NOT GO TO THIS TEAM. They have THE WORST culture. This team is known for people resigning very often (Even 10+ yrs exp people are resigning after joining this team).Even senior management and leadership also know about this team. But no action has been taken because they are favorable to a few people and don't want them to leave. Due to this, employees are resigning and the company is losing people....Read More"
Sr. Software Technologist I,Bengaluru/Bangalore,Full Time,Software Development Department,3 Aug 2023,4.0,3.0,5.0,3.0,5.0,4.0,3.0,Philips has lot of employee friendly policies and they do value their employees a lot.,Increase the employee salary as per current market trends. Its becoming very difficult to retain good resources.
Mechanical Designer,Pune,Full Time,Engineering & Manufacturing Department,3 Aug 2023,3.0,3.0,4.0,4.0,3.0,3.0,3.0,Good experience in medical devices design and manufacturing processes,"Like most places your career growth depends on your manager.
HR is virtual, nobody will physically adress or even hear out your concerns.
HR works for management.
Too much focus on Quality and Regulations due to which R&D and innovation is compromised."
Process Quality Engineering Manager,Bangalore/Bengaluru,Full Time,Engineering Department,2 Aug 2023,5.0,5.0,2.0,4.0,4.0,5.0,3.0,People in Philips having a great work life harmony as there are less work and company runs very slow. Nobody questions of any delay in actions. And you can do lot in your personal life if you are in Philips.,"Poor work content, complex organization structure, More follow up, leaders are not aligned with organization goal and play their own politics, poor response from HR function, no skill development post CG60 grade."
Director Sustaining &  Global Sourcing,Pune,Full Time,Engineering Department,8 Aug 2023,1.0,1.0,1.0,2.0,1.0,1.0,1.0,"Nothing the India branch has one of the highest turnover , Hostile work culture, women harassment issue","Everything women harassment is very open and they do not do anything in Philips HIC infact they harass the victim more , HR is just spectator"
Key Account Manager,Gurgaon/Gurugram,Full Time,Sales Support & Operations Department,5 Aug 2023,1.0,3.0,2.0,1.0,1.0,1.0,1.0,"Heritage Brand
Still hold reputation in consumers","Corporate culture is worst
No reward for high potential and high performer
Few few people will be given all credits irrespective of performance"
Regulatory Affairs Manager,Pune,Full Time,Other Department,4 Aug 2023,3.0,1.0,1.0,1.0,1.0,1.0,1.0,"In Regulatory side no proper management, Indian reviews who are not knowing any thing on products like MRI are spoiling careeres of other and it’s a major flop show, such reviews like Neena how those are allowed to play with others career?? Latest lay off was based on what???not clear, not expected form so called MNC like Philips. No actions will be taken on such prejudiced reviewers","RA management is pathetic and reviews are not proper and they are enjoying jobs by ruining others life. Looks senior management is not knowing or do not want to know. I was informed that I am laid off, the reasoning is not understood, why other RA lead did my review and I did not agreed to the review, I did not signed off."
Head - Healthcare Transformation Services,Gurgaon/Gurugram,Full Time,Other Department,3 Aug 2023,3.0,5.0,2.0,5.0,1.0,3.0,2.0,Work lice balance,"Appraisal system
Growth/ learning opportunities
Disaligned priorities to Indian healthcare ways of working
Backend functions lead decision making/ have larger control than front end functions/ revenue earning functions"
Catalogue Manager,Chennai,Full Time,Engineering Department,3 Aug 2023,2.0,2.0,2.0,3.0,4.0,1.0,2.0,"Philips policies are awesome & employee friendly, it allows employee to do their justice to given job.
But the Higher officials & Managers are changing the culture of philips by following a English professor ( treating like a students).",Philips as a organisation is good. But the Higher officials Managers are stuffing their own thoughts & slavery kind of behaviour is there with them. They need to follow philips policy towards employees.
Senior Mechanical Engineer,Pune,Full Time,Engineering & Manufacturing Department,3 Aug 2023,4.0,5.0,5.0,4.0,4.0,4.0,4.0,Good Place to learn. Flexible Leave Policy. Unlimited Sick Leaves. Work Life Balance is good. Take ownership to deliver your at your own capabilities. Work time is strictly followed. Global Exposure.,Complex process oriented structure.
