Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Assistant Line Leader,Gurgaon/Gurugram,Full Time,Engineering Department,0 Sep 2023,2.0,2.0,3.0,1.0,3.0,3.0,2.0,I like it's training for learning and skill development.,It's  salary whereas we have heavy work load and also not balance work and life for shop floor  opeartor.
Deputy Engineer,Noida,Full Time,Production Department,2 Sep 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing likes totally wasting of time nothing for learning,Everything is waste here nothing for learning no growth for carrier and salary.
A Good Company   (working remotely),,Full Time,Engineering Department,1 Aug 2023,4.0,3.0,5.0,2.0,4.0,5.0,2.0,Learning and skills develop to a best option at subros.,"No good salary, according to works.
एक बात सबसे गलत ये है कि senior कभी अच्छे से बात करना नहीं जानते और ना ही employees कि कोई बात सुनते है."
Deputy Manager (Vendor Development- Supply Chain),Manesar,Full Time,SCM & Logistics Department,0 Aug 2023,4.0,5.0,4.0,3.0,5.0,4.0,3.0,"Management and seniors are supportive, lot of new things for learning and execution.","HR Policy related to medical insurance for employee and their family is not upto mark, it is below average."
Security Supervisor,Noida,Full Time,Security Officer Department,1 Aug 2023,3.0,4.0,2.0,4.0,4.0,3.0,3.0,"The staff was incredibly welcoming and helpful. I would definitely come back!”
“The food was delicious and I really enjoyed the atmosphere. I'll definitely be back!”
“I had a wonderful experience and I would highly recommend this business to others.”",when a staff feels their expectations were not met.
Dat,Noida,Full Time,Other Department,1 Aug 2023,3.0,1.0,2.0,3.0,2.0,2.0,2.0,Nothing,Not good for electrical electronics students I m also a electrical Engineering student and I felt that here is nothing to learn for me.... I was come here with many expectations... They charges for transport and food also... The food is average permotion is poor
System Work,Manesar,Part Time,Stores & Material Management Department,1 Aug 2023,4.0,5.0,5.0,3.0,4.0,5.0,2.0,Develop skill and inhanced my self to cure my future. Further ahead I satisfied for last my efffort.,I am not getting further extra activities beside my duty hours.
Engineer,Manesar,Full Time,Engineering Department,1 Aug 2023,3.0,3.0,4.0,3.0,4.0,3.0,3.0,"Good Japanese manufacturing practices are followed.
Good company to start the career if you want to be in Automotive manufacturing Industries.","Less hike.
Average employee friendly policies"
Deputy Engineer,Gurgaon/Gurugram,Full Time,Production & Manufacturing Department,7 Aug 2023,3.0,3.0,3.0,3.0,4.0,3.0,2.0,Must Displine and timing punctual and same dress code uper and lower level,"Not increase salary and mis behaviour security and work load every Lower employees and misbehaviour seniors incharge in tainee and lower employee 
Skill not value for pramotion"
Assistant Manager,"Noida, Uttar Pradesh",Full Time,Finance Department,5 Aug 2023,3.0,2.0,1.0,2.0,3.0,1.0,2.0,"I just like my boss,if your boss is not good and supportive than you can not worm at subros at all","6 day working, backward in technology and learning programs for employees, canteen food 3rd class, no perks and perquisites, most of the employees are above above 40 that's make difficulties for new generation,"
Deputy Engineer,Ahmedabad,Intern,Engineering & Manufacturing Department,6 Aug 2023,5.0,2.0,2.0,2.0,5.0,5.0,2.0,"I have 2.3years experience in subros limited Gujarat. 
India number one company of auto air conditioning system",Subros is very very vip company but sallery is very low
Process Quality Assurance Engineer,"Pune, Maharashtra",Full Time,Production & Manufacturing Department,9 Jul 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0,Good for learning the industry basics and also new technology solutions.,Salery hike is less as compared to other Tire 1 automotive industry.
Deputy Engineer,Manesar,Full Time,Engineering Department,5 Jul 2023,4.0,3.0,4.0,2.0,4.0,4.0,2.0,"The company is still growing and it creates a very scrappy, inspiring environment. Everyone is putting in their all and working so hard, and there is always more learning to be done!",Appraisal system is not appropriate.
Engineer,Noida,Full Time,SCM & Logistics Department,0 Jul 2023,2.0,1.0,2.0,2.0,5.0,1.0,1.0,"This company is Good for diploma Holders, nothing in this company for whom who want to learn and develop our work skills. HR always dominant in company, and they never respect the core employees. No one will fire you from job in this company, because everyone is trying to do our job by timepass manner so if you are doing timepass incompany than its not a new trend rather it is tradition of company....Read More",Dislike
Machine Operator,"Noida, Uttar Pradesh",Full Time,Production Department,6 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Best security of subros,"Not gud company because manager, senior engineer, engineer  behaviour is not gud
No eny trening only production
All engineers talk to everyone by giving street"
Data Entry Operator,Noida,Full Time,Production & Manufacturing Department,3 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing,"Very rude behaviour  HR department
No longer leave for medical issues
Over all' HR department not good for boys Forced to work for 12 hours and also called on Sundays: 
 Please all the diploma holders who are coming for internship, don't come, they make you work forcefully, please."
Dupty Engineer,Manesar,Full Time,injection moulding Department,4 Jun 2023,5.0,5.0,5.0,4.0,4.0,4.0,3.0,subros is a best learning platform thats provide us best environment to learn and develop over skill and express it it's provide all nesecerry traing all tha traing program which help us to improve ourself,only one things in subros it's salary and it's encriment process is not good
Det Supervisor,Manesar,Full Time,Production & Manufacturing Department,0 Jun 2023,4.0,4.0,5.0,3.0,5.0,5.0,3.0,Most important thing in this company is that training provided very much which is use to help your future.jobs and career achievements,Salary growth and development
Assistant Engineer Mechanical,Chennai,Full Time,Production Department,0 Jun 2023,4.0,3.0,5.0,3.0,4.0,4.0,3.0,According to me subros is good organization but some of the official were using the lower level worker and they getting benifit how ever every organization will have this type of problm otherwise remaining all good,Politics
Diplomo Trainee,"Pune, Maharashtra",Full Time,Production & Manufacturing Department,0 Jun 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"A mostly mosty worest company sunros ltd. 
It is not right a degree engineer or educated person. This company only for unskilled or labour person. Very very bad company.",Very very bad company
Junior Manager Taxation,Noida,Full Time,Operations Support Department,8 Aug 2023,3.0,5.0,3.0,4.0,5.0,1.0,3.0,"Work Life balance for some of the support department are amazing.
But on the same side for person related to production their life became hell.","Nepotism. Only people comes from senior referal are enjoying. Other than that, only 5% is the slab for increment.
Means low increments in comparison to competitors."
Officer,Manesar,Full Time,Stores & Material Management Department,7 Jun 2023,5.0,4.0,4.0,4.0,4.0,5.0,4.0,"Presently working in Store department as officer designation. In store a import section doing work like import material unloading, inventory maintain , fifo system maintain, make rgp or NRGP, Material dispatch for chennai internal plant without any reason failure Store staff and casual manpower handling, kaizen cordinator etc.",All is well but space problem in Store like R.M Store not in Store if possible please look this matter
Assistant Engineer,Ahmedabad,Full Time,In-Process Quality Assurance  Department,7 Sep 2023,4.0,4.0,5.0,2.0,5.0,3.0,1.0,Skill development and work life balance.,Promotion and salary Increment are very poor.
Assistant Engineer   (working remotely),,Full Time,Engineering Department,6 Sep 2023,5.0,5.0,4.0,3.0,5.0,3.0,4.0,Company work in progress,Company profile
Cam Engineer,Noida,Full Time,Hardware Department,6 Sep 2023,1.0,1.0,3.0,3.0,4.0,1.0,1.0,Food function breakfast lunch dinner,Other than food everything is worst
Injection Moulding Operator,Noida,Full Time,Other Department,5 Sep 2023,2.0,2.0,2.0,1.0,3.0,2.0,1.0,Nothing  very bad experience,Very bad experience
Deputy Engineer,Noida,Full Time,Engineering Department,4 Sep 2023,3.0,5.0,4.0,5.0,4.0,4.0,4.0,Good experience,Sallary increment is poor
Assistant Engineer,"Manesar, Haryana",Full Time,Production & Manufacturing Department,4 Sep 2023,3.0,3.0,4.0,3.0,4.0,4.0,3.0,Working environment,Salary according to designation
Assistant Engineer 1   (working remotely),,Full Time,Stores & Material Management Department,4 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good working culture and good employee behaviour,Nothing to dislike In subros organisation.
Junior Manager,Noida,Full Time,Accounting & Taxation Department,3 Sep 2023,4.0,4.0,3.0,3.0,4.0,4.0,2.0,Good Working culture and good work life balance,Too many approvals and internal systems to get the work done
Dupity Manager,"Manesar, Haryana",Full Time,SCM & Logistics Department,2 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Everything is very good here, employee engagement.",Nothing
Quality Controller,"Ahmedabad, Gujarat",Full Time,Quality Assurance and Testing Department,1 Sep 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0,There is lot of learn in subros & girls safety is top notch.,There is no any dislike of subros.
Duty Engineer   (working remotely),,Full Time,Production & Manufacturing Department,1 Sep 2023,3.0,3.0,2.0,2.0,4.0,3.0,2.0,In this company faculty good bus canteen senior behavior good,Working both hard company area out of city
Officer  Hr & Admin,Noida,Full Time,HR Operations Department,1 Sep 2023,5.0,5.0,5.0,4.0,4.0,5.0,4.0,Very nice place to work with subros,No
Deputy Engineer,Manesar,Full Time,SCM & Logistics Department,1 Sep 2023,5.0,5.0,5.0,3.0,5.0,5.0,5.0,Particularly one work one person and growing,Salary  increase very slowly
Officer,Pune,Full Time,Stores & Material Management Department,0 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good,Very good opportunities my SUBROS LIMITED
Manager,Pune,Full Time,Management Department,9 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,SAP working and Good culture,System vs Actual gap....and need to track physical
Production Engineer,Manesar,Full Time,Engineering Department,8 Sep 2023,4.0,4.0,4.0,3.0,5.0,4.0,3.0,Work culture is very good .,Salary increment is not good
Diploma Engineer Training,Noida Phase 2,Full Time,Production Department,5 Sep 2023,3.0,3.0,2.0,1.0,5.0,4.0,4.0,"Leave,","Work, food, communication ,shift, week off"
Purchase SCM,Noida,Full Time,SCM & Logistics Department,5 Sep 2023,4.0,4.0,4.0,3.0,4.0,3.0,3.0,Job is secure,Company culture is very bad. Hr not supporting
Deputy Manager,Chennai,Full Time,SCM & Logistics Department,3 Sep 2023,5.0,4.0,4.0,3.0,5.0,3.0,2.0,Good working environment..,Not balancing in office and home
Mechanical Engineer,Noida,Full Time,Production Department,1 Sep 2023,3.0,5.0,3.0,2.0,5.0,5.0,3.0,Lunch and senior behavior,Management system
Electronics Engineer,New Delhi,Full Time,Engineering Department,1 Sep 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Yes I do,"Subros have Machnical job provide
Not focus on electronic"
Deputy Engineer,Noida,Full Time,Press tool assembly  Department,1 Sep 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Only food is good only in stec plant,The don't give see off properly management is poor
Assistant Engineer,"Manesar, Haryana",Full Time,Production & Manufacturing Department,1 Aug 2023,3.0,2.0,3.0,2.0,4.0,2.0,3.0,"Knowledge, time management,and learning","Salary related, over time but not pay the overtime salary"
Chief Mechanic,"Ahmedabad, Gujarat",Contractual,Other Department,1 Sep 2023,1.0,2.0,1.0,2.0,1.0,1.0,1.0,Nothing,"Management, Acomodation, transportation, no other benifit"
Deputy Engineer,Gurgaon/Gurugram,Full Time,Engineering Department,1 Aug 2023,5.0,5.0,4.0,4.0,5.0,5.0,5.0,"Subros it's a very good company manufacturing Auto air conditioning system
Auto brazing assembly production",Fainecial gorth
Manager Hr,"Noida, Uttar Pradesh",Full Time,HR Operations Department,0 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very Good Organization to work and Grow.,Delayed Decision making
Deputy Engineer,Noida,Full Time,Engineering Department,9 Aug 2023,5.0,5.0,5.0,3.0,5.0,4.0,3.0,I like canteen and bus facilities,Increments
Deputy Engineer,Noida,Full Time,Engineering Department,9 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Discipline about working Subros,Salary not satisfied with Subros
Dat,Noida,Full Time,"Operations, Maintenance & Support Department",7 Aug 2023,5.0,1.0,5.0,5.0,5.0,5.0,3.0,Mnc company,Work life balance
Assistant Engineer,"Ahmedabad, Gujarat",Full Time,Stores & Material Management Department,7 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Company System of work is very good 💯.,Manegement not good
Diploma Trainee Engineer,"Manesar, Haryana",Full Time,Other Department,6 Aug 2023,2.0,2.0,2.0,2.0,4.0,3.0,1.0,Work hard for line manpower and line Dupty engineer,Good and cooperative Staff and management
Diploma Engineer Trainee,New Delhi,Full Time,Production & Manufacturing Department,5 Aug 2023,4.0,4.0,4.0,4.0,4.0,5.0,3.0,Shift rotation within 15 days,This company is good to learn about its work.
Deputy Engineer,Noida,Full Time,Engineering Department,5 Aug 2023,5.0,3.0,5.0,2.0,5.0,5.0,4.0,Salary does not increase quickly according to the post.,Management of  subros  good ...
D.e.t,Manesar,Full Time,Engineering Department,1 Sep 2023,4.0,4.0,5.0,3.0,5.0,5.0,4.0,Salary promotions not good ....,there's a lot to learn
Desktop Support Engineer,Manesar,Full Time,IT Support Department,4 Aug 2023,4.0,3.0,5.0,3.0,3.0,5.0,2.0,"There is no shortage, you just get a little less money.","Yes, very good experiance at subros ltd"
Assistant Engineer,Ahmedabad,Full Time,SCM & Logistics Department,9 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Beautiful,Food and control and
Production Det,Noida,Full Time,Engineering Department,1 Aug 2023,1.0,1.0,1.0,1.0,4.0,1.0,3.0,Heavy production and strick behavior,Culture
Production Engineer,Manesar,Full Time,"Operations, Maintenance & Support Department",1 Aug 2023,2.0,2.0,1.0,4.0,2.0,4.0,2.0,Low salary structure for this company,
Assistant Engineer,Noida,Full Time,Engineering Department,8 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Yes,Long time promotion and no interment as par skill
Asistant Engineer,"Manesar, Haryana",Full Time,Production Department,7 Aug 2023,2.0,3.0,3.0,2.0,4.0,4.0,2.0,Job security is better,Personal grouth nothing
Deputy Engineer,Noida,Full Time,Engineering Department,6 Aug 2023,4.0,5.0,4.0,4.0,4.0,4.0,4.0,Gods working environment and the high job security,The salary is to low for survive
Det,Gurgaon/Gurugram,Full Time,"Operations, Maintenance & Support Department",2 Sep 2023,5.0,4.0,5.0,4.0,5.0,5.0,4.0,Company policy and benefits in employee,To very hard work
Assistant Engineer Production Assembly,Gurgaon/Gurugram,Full Time,Production & Manufacturing Department,4 Aug 2023,5.0,5.0,5.0,4.0,4.0,5.0,4.0,This organisation training is very good.and skills is very good.,No
Atto Air Conditioning    (working remotely),,Full Time,Other Department,6 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good work,"Salary 
Sunday working 
trening no faculty
do not get good food"
Det Supervisor,Noida,Full Time,Engineering Department,3 Aug 2023,5.0,3.0,5.0,3.0,4.0,4.0,4.0,Working culture and team,Behaviour of HR department
Store Keeper,Ahmedabad,Full Time,Stores & Material Management Department,3 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,It's more better experience and knowledge are achieving it,No any disadvantage
Apprenticeship Trainee,Manesar,Full Time,Production & Manufacturing Department,3 Aug 2023,3.0,3.0,4.0,2.0,4.0,4.0,3.0,Salary credited on time.,All employees working without sitting for 8  hours.
Production Worker,"Korba, Chhattisgarh",Part Time,"Operations, Maintenance & Support Department",2 Aug 2023,5.0,4.0,5.0,5.0,5.0,5.0,5.0,Nice work 💪to subros company to produce the Ac part,Nice work 💪and nice company to productions
Assistant Manager,Noida,Full Time,Engineering & Manufacturing Department,2 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,3.0,"Good learning , good for career start",Saturday working Saturday working
Deputy Engineer,Manesar,Full Time,"Operations, Maintenance & Support Department",2 Aug 2023,4.0,4.0,5.0,4.0,4.0,4.0,4.0,Learning and skill development and all seniors behavior...,Salary satisfaction...
Deputy Engineer,Gurgaon/Gurugram,Full Time,Production & Manufacturing Department,1 Aug 2023,5.0,5.0,4.0,3.0,4.0,5.0,3.0,All good in Subros ltd.,Subros ltd a vary good company
Deputy Engineer,Noida,Full Time,Engineering Department,0 Aug 2023,2.0,4.0,4.0,1.0,4.0,4.0,1.0,Training session is very good,Salary & promotion is not good
Assistant Manager,Noida,Full Time,Business Process Quality Department,9 Aug 2023,4.0,3.0,4.0,3.0,4.0,3.0,4.0,Learning and development,Company culture
Electrical Engineer In Utility Operation,Noida,Full Time,"Operations, Maintenance & Support Department",7 Aug 2023,4.0,4.0,5.0,4.0,4.0,5.0,3.0,"Good company culture,good skill development,good salary,good environment",Avg promotion
Deputy Engineer,Gurgaon/Gurugram,Full Time,"Operations, Maintenance & Support Department",6 Aug 2023,3.0,4.0,5.0,2.0,5.0,5.0,2.0,Company culture and environment is very good,Salary and pramotion
Intern,Noida,Intern,Production & Manufacturing Department,5 Aug 2023,5.0,4.0,5.0,5.0,5.0,4.0,4.0,All the senior are very supportive and helpful,I don’t think so there is any problem in this firm
Senior Operations Manager,Ahmedabad,Full Time,"Operations, Maintenance & Support Department",4 Aug 2023,3.0,3.0,3.0,2.0,4.0,2.0,2.0,"Job security , competitive environment","appraisal system , Hr policies"
Diploma Trainee Engineer,"Noida, Uttar Pradesh",Full Time,"Operations, Maintenance & Support Department",4 Aug 2023,4.0,5.0,5.0,4.0,5.0,5.0,3.0,Learning easy and team members support.,Salary growth
Diplomo Trainee,Manesar,Full Time,Other Department,2 Aug 2023,5.0,4.0,5.0,4.0,5.0,5.0,5.0,Skills and build canteen culture,Not getting overtime
Deputy Manager-HR And Admin,Pune,Full Time,HR Operations Department,2 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good Place to Work 👍Subros Limited,No
Operation,Noida,Full Time,Operations Department,2 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,I don’t like Subros,Salary bhi time per Nhi dete km bhi labour jasa late hai jab ki diploma pass out hai
Diploma Trainee Engineer,Noida,Full Time,Engineering Department,1 Aug 2023,4.0,4.0,3.0,3.0,5.0,5.0,3.0,Like subros culture & fecility,"I am working in subros from one year , now I don't getting anything new skill"
Assistant Engineer,Manesar,Full Time,Sales Support & Operations Department,1 Jul 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0,"Company culture and skill development/ learning , job security",Salary not increase
Deputy Engineer,Noida,Full Time,Production & Manufacturing Department,7 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,A skiled person needed on line,Problem solving skills
Dy. Manager,Ahmedabad,Full Time,Operations Department,0 Jul 2023,2.0,2.0,2.0,3.0,4.0,1.0,2.0,Job security,"Poor work satisfaction, 
Poor work life balance
Poor work culture"
Det,Noida,Full Time,Production & Manufacturing Department,0 Jul 2023,1.0,1.0,1.0,1.0,1.0,4.0,1.0,Company me gulam ki tarah behave Kiya jata hai,Dislike
Engineer Trainee,Manesar,Full Time,HVAC line production  Department,1 Aug 2023,5.0,4.0,4.0,2.0,4.0,4.0,2.0,HVAC line working Subros,Not good management at Subros
D.e.t,Ahmedabad,Full Time,Production & Manufacturing Department,9 Jul 2023,5.0,4.0,5.0,3.0,4.0,4.0,3.0,Skills  development and growth,Sailery problem
Assistant Engineer,Noida,Full Time,Production Department,9 Jul 2023,4.0,4.0,4.0,2.0,4.0,4.0,3.0,Job security is good,Salary is very low under engineer
Fresher,Gurgaon/Gurugram,Full Time,Engineering Department,6 Aug 2023,5.0,4.0,5.0,5.0,5.0,5.0,5.0,Packaging department  and hose and tube department,It is difficult  working  in packaging  department
Assistant Quality Engineer,Noida,Full Time,Production & Manufacturing Department,8 Jul 2023,4.0,4.0,5.0,3.0,5.0,4.0,3.0,Everything is fine and Training and skilled development is good.,Salary increment is not good
Senior Engineer,Chennai,Full Time,Production Department,8 Jul 2023,5.0,4.0,5.0,4.0,5.0,5.0,3.0,I am very glad to work with subros family,No comments
Deputy Engineer,"Noida, Uttar Pradesh",Full Time,"Operations, Maintenance & Support Department",8 Jul 2023,3.0,3.0,2.0,3.0,4.0,3.0,3.0,Job security,"No work life balance , no good increments"
Senior Manager,Imt Manesar,Full Time,"Operations, Maintenance & Support Department",6 Jul 2023,3.0,3.0,3.0,3.0,4.0,2.0,2.0,Job security,"Plant environment
Increment 
Individual respect
Job clarity"
Deputy Engineer,Gurgaon/Gurugram,Full Time,Engineering Department,6 Jul 2023,4.0,4.0,5.0,3.0,5.0,5.0,4.0,I like that subros is good training provided and promoted the HRD,Subros salary is so less as per standard
Dupty Engineer,Noida,Full Time,"Operations, Maintenance & Support Department",5 Jul 2023,4.0,3.0,4.0,3.0,4.0,4.0,3.0,"Job security,&skill development, learning",Promotions &appraisal
Logistics Supervisor,"Gurgaon/Gurugram, Haryana",Full Time,Sales Support & Operations Department,2 Aug 2023,1.0,1.0,4.0,1.0,4.0,1.0,1.0,Job security,Work culture not good
Apprenticeship Trainee,Ahmedabad,Part Time,Engineering Department,2 Jul 2023,2.0,3.0,3.0,2.0,4.0,3.0,3.0,Big growth in future,Low pay scale
Deputy Engineer,Gurgaon/Gurugram,Full Time,Production & Manufacturing Department,1 Jul 2023,4.0,4.0,4.0,3.0,5.0,4.0,4.0,Yes but salary very less policy so l am not satisfied this organisation,Salary issue
Diploma Apprenticeship Assistant,Karsanpura,Freelancer,Operations Support Department,0 Jul 2023,3.0,3.0,4.0,2.0,3.0,3.0,3.0,Mast this job,Full worst type job
Deputy Engineer,"Noida, Uttar Pradesh",Full Time,Production & Manufacturing Department,9 Jul 2023,5.0,5.0,5.0,3.0,5.0,5.0,2.0,Subros training provided work related,Promotion and increment
Det,Karsanpura,Full Time,Production Department,8 Jul 2023,4.0,5.0,3.0,3.0,4.0,5.0,4.0,Safety and 5s is menten in company subros,Sellery don't like me.
Deputy Engineer,Noida,Full Time,Production Department,8 Jul 2023,4.0,3.0,4.0,3.0,5.0,4.0,4.0,A Very good company for Freshers.,Salery increment is very slow.
Assistant Manager,Noida,Full Time,Recruitment & Talent Acquisition Department,7 Jul 2023,2.0,3.0,4.0,2.0,3.0,3.0,2.0,Very process oriented ;,High on paper work
Deputy Engineer,Noida,Full Time,Operations Department,7 Jul 2023,1.0,1.0,1.0,2.0,1.0,1.0,2.0,Nothing,"0 
Job security and company culture so rudely"
D A T,Noida Sector 188 Phase 2,Full Time,"Operations, Maintenance & Support Department",8 Jul 2023,2.0,2.0,4.0,4.0,4.0,3.0,2.0,"Good filling and 
Good communication employee",I have not words for subros
Deputy Engineer,Noida,Full Time,Engineering Department,3 Jul 2023,3.0,3.0,4.0,4.0,4.0,3.0,4.0,"Salary not growth 📈
Eg- 1 year to 4 year same salary in hand .😞",Skill development programs
