Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Engineer,Hyderabad/Secunderabad,Full Time,Management Department,7 Sep 2023,2.0,1.0,1.0,2.0,5.0,1.0,2.0,Job security,"1.There is no system followed in this company.
2. There is no recognition for low level staff 
3. There is no procedures and systems followed in daily and monthly plan.
4.there is no place for talent only needs is relationship with high level staff."
Lead Visual Merchandiser And 3D Designer - DM,Gurgaon/Gurugram,Full Time,Marketing Department,1 Sep 2023,1.0,3.0,1.0,3.0,1.0,1.0,3.0,"1. Good appraisal 
2. Good work life balance","1. Abusive senior leadership
2. No vision
3. Long process to execute work
4. Project goes on and on for 2-3 years"
Senior Territory Manager,"Navi Mumbai, Maharashtra",Full Time,Enterprise & B2B Sales Department,0 Aug 2023,1.0,1.0,3.0,3.0,1.0,1.0,1.0,very very good usha international ltd campany  but Staff very ghatiya,"The staff in Usha International Ltd. are full of jokes, no one should work in Usha International"
AGM (National Product Head) - AC & REFRIGERATION DIVISION,Gurgaon/Gurugram,Full Time,Lending Department,0 Aug 2023,4.0,3.0,3.0,4.0,4.0,4.0,4.0,"The company has undergone sea change since I left, and so my assessment of the company may not reflect the true picture as it exists today for this company.
It is a very well structure company. The processes were well defined.
It is a multi divisional company, and has got quite a big basket of products.","Although the policies and processes were well defined, but exceptions were quite rampant.
In case of appraisals also the personal biases were not checked effectively."
Sales Manager,Hyderabad/Secunderabad,Full Time,Enterprise & B2B Sales Department,2 Aug 2023,4.0,4.0,2.0,3.0,4.0,3.0,3.0,Present situation is not good company is facing losses and losing market share,No marketing activities no new products development and don't follow market trend prices are high
Senior Management,Gurgaon/Gurugram,Full Time,Sales Support & Operations Department,2 Aug 2023,4.0,5.0,3.0,4.0,5.0,4.0,4.0,"Great for job security, work life balance, it is a very much a people driven organization. If you are not in sales or marketing, usha international is one of the great companies to work for if you want to have a steady life","Extremely slow in business decision making, lack of democratic decision making as it is a fully promoter driven organization, if your business is not in the focus of the promoter no matter how much energy, time and focus  you try to bring, nothing will move. Senior management hardly has any say in marketing, category, brand building activities."
Vice President,Gurgaon/Gurugram,Full Time,Other Department,9 Aug 2023,3.0,4.0,3.0,4.0,2.0,4.0,2.0,The overall company culture is good,"Leadership is filthy with no clarity on company vision and thus very fragile. Company is bleeding as making only losses for over a decade now. No concrete measure initiated till now.
Therefore, the stability and business consistency in a cause of great concern for Usha."
Helper,"Hyderabad/Secunderabad, Telangana",Full Time,"Operations, Maintenance & Support Department",3 Aug 2023,1.0,1.0,1.0,1.0,1.0,4.0,3.0,"Environmental,plant, canteen, infrastructure , colleges,payment timming of salary","Salary, management,rules, work related pf transactions, management over acting as they are ruling whole world"
Territory Sales Manager,"Indore, Madhya Pradesh",Full Time,Sales and marketing management  Department,8 Jul 2023,5.0,4.0,5.0,4.0,4.0,5.0,4.0,"Skill development and learning program like traning , qus and ans by I learn app it's too good for better understanding for Sales and product education",Work life balance is little bit chalangin.
Area Manager,Mumbai,Full Time,After Sales Service & Repair Department,0 Jun 2023,1.0,1.0,1.0,1.0,3.0,1.0,2.0,This co is now going down day by day. Don't expect big future here.,No future no work life balance no family life no support from co old system.
Deputy Manager,"New Delhi, Delhi",Full Time,Retail & B2C Sales Department,2 Jul 2023,3.0,4.0,5.0,3.0,5.0,5.0,1.0,"Management is very helpful and be there for you at every step. They will support at every instance, but approvals takes hell of time and by the time they approve price, deal gets to the competition.","Pricing approvals
No smooth lineup for privacy."
Sales Executive,"Indore, Madhya Pradesh",Full Time,BD / Pre Sales Department,7 Sep 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Company culture is very good senior are very supportive.we learn lost of thing about product and market,Nothing to dislike in this company
Regional Training Manager,Gurgaon/Gurugram,Full Time,Corporate Training Department,2 Sep 2023,5.0,5.0,4.0,3.0,4.0,4.0,4.0,"Good policy, working culture",Less appraisal
Sales Executive,"Kolkata, West Bengal",Full Time,Retail & B2C Sales Department,1 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,3.0,Good Company.. Every parsen Good .,No Promotion
Senior Manager,Gurgaon/Gurugram,Full Time,Accounting & Taxation Department,1 Sep 2023,3.0,4.0,3.0,2.0,4.0,2.0,2.0,Work life balance,"No good increments 
lot of red tapism
very ancient policies
very behind on employee welfare"
Deputymanager-it,"Guwahati, Assam",Full Time,Technology / IT Department,8 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Excellent company for long term job,No dislikes
GIP,"Noida, Uttar Pradesh",Full Time,Other Department,6 Sep 2023,2.0,3.0,4.0,3.0,4.0,5.0,1.0,I've worked with Usha retail for around 3.5 years but they didn't raised my salary.,Didn't raise my salary
Sales Officer   (working remotely),,Full Time,Other Department,6 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good products branding is good,But late process
Assistant Manager,Hyderabad/Secunderabad,Full Time,Business Process Quality Department,2 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good company,No comment about company
Senior Manager Finance & Accounts,Hyderabad/Secunderabad,Full Time,Accounting & Taxation Department,1 Sep 2023,4.0,4.0,3.0,3.0,5.0,4.0,3.0,Good Secure job,Appraisal not come in time
SENIOR RURAL BUSINESS OFFICER,"Jaisalmer, Rajasthan",Full Time,Sales Support & Operations Department,1 Sep 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Managerial culture and yes sir , yes boss culture",Travel policy and politics
Spare Parts Store Incharge,Jaipur,Full Time,After Sales Service & Repair Department,0 Aug 2023,3.0,5.0,2.0,2.0,3.0,2.0,2.0,Nothing for job Best,Not working culture
Territory Manager,Gurgaon/Gurugram,Full Time,Retail & B2C Sales Department,1 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Working culture / Working Freedom / Culture employee oriented,Nothing
Senior Service Technician,"Bangalore Rural, Karnataka",Full Time,After Sales Service & Repair Department,9 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,3.0,"I am glad to work here,Good company supportive managment and staffs.",Appraisal
Senior Officer,Hyderabad/Secunderabad,Full Time,Engineering & Manufacturing Department,8 Aug 2023,4.0,3.0,3.0,3.0,3.0,4.0,3.0,Work culture is good at,Salary and hikes are average
Territory Manager,Gurgaon/Gurugram,Full Time,Enterprise & B2B Sales Department,8 Aug 2023,5.0,4.0,4.0,4.0,4.0,4.0,4.0,Nice place to learn,Nothing
Sales Executive,"Jaipur, Rajasthan",Full Time,Retail & B2C Sales Department,7 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,I am not working at present
Territory Sales Manager   (working remotely),,Full Time,Enterprise & B2B Sales Department,6 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Work life balance is good,Slow process for everything
Area Sales Manager,Mumbai,Full Time,Sales Support & Operations Department,5 Aug 2023,3.0,1.0,3.0,1.0,5.0,2.0,3.0,Company HR is supportive and Helps in improvement of employees.,Pay against work is not satisfactory.
Dy. Manager,Gurgaon/Gurugram,Full Time,Stores & Material Management Department,3 Aug 2023,3.0,3.0,1.0,3.0,4.0,3.0,2.0,Job security,Appraisal not given on time
