Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Team Lead And Incharge,"Bangalore Rural, Karnataka",Full Time,Back Office Department,6 Sep 2023,1.0,1.0,1.0,3.0,1.0,1.0,1.0,Company is good,"Management is worst manager has they own rules and does not respect the employee.
Still my clearance is not done after doing notice period also reporting manager are not responding the calls if he answer also tells da he will do but still not done 2months is over. 
Worst experience I ever had don't join Voltas"
Resident Engineer,"Pune, Maharashtra",Full Time,Service Delivery Department,5 Sep 2023,1.0,1.0,1.0,1.0,5.0,1.0,1.0,This was a nightmare nothing is good about this company. Managers are egoistic and you never get appreciation of what you do.,Worst company filled with bunch of idiots who do not promote innovation. Always pointing fingers at each other and people do less work and more politics.
Planning Engineer,Mumbai,Full Time,Construction Engineering Department,7 Sep 2023,2.0,5.0,2.0,2.0,5.0,2.0,3.0,"Flexible timings
Job security
Trusted brand","Pathetic Leadership
Old crew, no innovation or motivation
No appriciation"
Electrical Technician,"Jodhpur, Rajasthan",Full Time,Technician  Department,3 Sep 2023,5.0,5.0,4.0,4.0,4.0,5.0,3.0,This is a very good company and people trust it the most,"Even after completing one and a half year, my agreement was not finalized."
Senior Engineer-civil,"Sultanpur, Uttar Pradesh",Contractual,Construction Engineering Department,1 Aug 2023,4.0,4.0,5.0,5.0,5.0,4.0,3.0,"Best Company, Proper Training, All Perks & Benefits, Secure Job.","Few Cheap Staffs/Manager detroiting Work Culture and Unprofessional Attitude & Ego. 
Although, It's the best Company."
Senior Engineer Ehs,"Bhubaneswar, Odisha",Contractual,Occupational Health & Safety Department,7 Sep 2023,4.0,4.0,2.0,4.0,3.0,3.0,3.0,No work pressure like other companies. Stress free job. But main drawback is it's contractual positions.,Contractual job posting
Det,New Delhi,Full Time,Construction Engineering Department,4 Aug 2023,4.0,4.0,3.0,4.0,4.0,4.0,2.0,Because of the company culture and salary comes on time and job security.,Because in this company  there is very difficult of promotion and appraisal  and the company give the work according to there talent .
Safety Officer,Mumbai,Full Time,Community Health & Safety Department,6 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Work culture and higher authorities giving more opportunities to develop safety culture.,Candidates hired by third party agency like teamlease . I suggested that if candidates working more than 2 year in voltas company give offer for payroll.
Branch Service Manager,"Lucknow, Uttar Pradesh",Full Time,After Sales Service & Repair Department,4 Aug 2023,1.0,1.0,1.0,1.0,1.0,2.0,1.0,Very dissatisfied And one of the worst organisation .. no human values ..,"On human values, no respect , 18 hrs job with nil appreciation"
Site Supervisor,"Patna, Bihar",Full Time,Construction Engineering Department,9 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Voltas ek achhi company h lekin mai v voltas me job krta tha or baad me mujhe hata diya gya,Maine voltas me achha kaam kr ke dikhaya lekin fir bhi nikal diya diya gya
Senior Engineer - East Zonal HVAC- AMC Executions Site,Kolkata,Full Time,Service Delivery Department,0 Jul 2023,2.0,3.0,4.0,1.0,3.0,3.0,2.0,"Training session , office mate cooperation,","Appraisal , personal growth not identified by management"
