Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Lead Engineer,Pune,Full Time,Engineering & Manufacturing Department,1 Aug 2023,1.0,1.0,1.0,1.0,3.0,1.0,1.0,Flexible timing,"Horrible top management
Most of the employees have been here for last 10-15 years; so no idea of what the outside world is doing : Thinks themselves to be oversmart
No food / transport facilities - even when the office is located at the town's outskirt
No proper and defined HR policies - no common folder : Most of the policies have not been revised in decades
Internal politics and at the end of the year would use any mean to not give you a good rating...Read More"
Senior Executive,"Gurgaon/Gurugram, Haryana",Full Time,Operations Support Department,5 May 2023,2.0,3.0,1.0,3.0,1.0,1.0,1.0,Only thing I like about whirlpool is my immediate manager.,"Senior management is worst, they can ask you to leave whenever they want. They have unique way of torturing employees and senior management acts as tyrant.
They can shout on you infront of your colleagues, demean you and can even portrait your good work into disaster and you cannot fight it."
Area Sales Manager,Patna,Full Time,Marketing Department,1 Aug 2023,5.0,5.0,5.0,5.0,5.0,4.0,5.0,Always new things to learn,"Extensive Travelling is required, employee has to drive his car at all place (daily avg 200kms)
Mileage claim is also very less ₹7/km.
While driving the car, doing business is quite difficult."
Sme Lead,"Gurgaon/Gurugram, Haryana",Full Time,Finance Department,8 Jul 2023,3.0,5.0,2.0,4.0,2.0,2.0,2.0,Work life balance is good but except this no other benefits in this organisation.. Politics is too much they alwayz treat employees as bonded labor..,"Politics 
Bad environment 
Poor growth roadmap"
Senior Engineer,Pune,Full Time,Engineering & Manufacturing Department,2 Aug 2023,4.0,5.0,4.0,3.0,5.0,5.0,3.0,"The work environment, Work culture, Work life balance","Salery Appraisal, Promotions took time, need to struggle for ownership of the components or subsystem"
Area Sales Manager,"Coimbatore, Tamil Nadu",Full Time,Retail & B2C Sales Department,4 Aug 2023,5.0,4.0,5.0,4.0,3.0,2.0,4.0,Top management is good and give opportunity to learn and work.,Manager politics and senior people won’t encourage nee joines
Process Associate,"Gurgaon/Gurugram, Haryana",Full Time,Consumer service  Department,8 Jun 2023,2.0,3.0,1.0,3.0,5.0,1.0,1.0,Company has good work life balance since there is not much work therefore there is no such pressure .,"Female security 
Baisness
No growth no proper pathway to get promoted 
Unecessary politics.
Managers  and deputy managers lacking managerial things ."
Sr. CAE Specialist,Pune,Full Time,Simulation R&D Department,7 Jul 2023,4.0,2.0,5.0,5.0,4.0,4.0,5.0,"Flexible work timings, good compensation, on demand work from home as per req only finish projects on time",Now a days work life balance is not mainained
Area Manager,"Ghaziabad, Uttar Pradesh",Full Time,Enterprise & B2B Sales Department,5 Jul 2023,1.0,2.0,2.0,2.0,4.0,2.0,2.0,Whirlpool unlike the brand name is not a good place to work at. The company culture in sales doesn't allow work life balance and do not even pay as promised. Completed an year here and already looking for a switch,"Overall the organization is very good. You will get fair chance to become a competitive, to learn & to grow. 
Good culture..."
Associate,Pune,Full Time,Engineering & Manufacturing Department,8 Jun 2023,5.0,4.0,5.0,3.0,4.0,5.0,4.0,"Not such dislikes, but variable should jot be a part of CTC. 
Apart from work you have to put your energy in extra initiatives.",
Analyst,Pune,Full Time,Engineering Department,8 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,"Good culture, good work life balance, ample opportunities and learnings.",Salary and policies comparison with other similar level MNCs
Deputy Manager - Finance,Gurgaon/Gurugram,Full Time,Finance Department,1 Aug 2023,4.0,4.0,2.0,4.0,5.0,3.0,3.0,Flexible timings and work from home,No learning and growth. Bad management and no enthusiasm in team.
Senior Product Design Engineer,Pune,Full Time,Engineering Department,8 Sep 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Work culture and scope to grow,Payout not as per market
Area Sales Manager,"Visakhapatnam, Andhra Pradesh",Full Time,Marketing Department,5 Sep 2023,5.0,4.0,4.0,3.0,5.0,5.0,3.0,Very good company,When compared with other companies salary is less
